Stock;yr;ct;bt
seabobshrimp_s;1950;4067.2;
seabobshrimp_s;1951;4526.6;
seabobshrimp_s;1952;3935.1;
seabobshrimp_s;1953;5552.8;
seabobshrimp_s;1954;5413.9;
seabobshrimp_s;1955;5999.9;
seabobshrimp_s;1956;6260.1;
seabobshrimp_s;1957;5275.3;
seabobshrimp_s;1958;4731.1;
seabobshrimp_s;1959;5726.2;
seabobshrimp_s;1960;5514.6;
seabobshrimp_s;1961;8634.0;
seabobshrimp_s;1962;10807.1;
seabobshrimp_s;1963;12937.2;
seabobshrimp_s;1964;14749.9;
seabobshrimp_s;1965;15304.4;
seabobshrimp_s;1966;14959.6;
seabobshrimp_s;1967;11671.8;
seabobshrimp_s;1968;14200.7;
seabobshrimp_s;1969;10588.2;
seabobshrimp_s;1970;11550.3;
seabobshrimp_s;1971;8071.7;
seabobshrimp_s;1972;11400.5;
seabobshrimp_s;1973;12182.5;
seabobshrimp_s;1974;7661.5;
seabobshrimp_s;1975;10088.7;
seabobshrimp_s;1976;9435.8;
seabobshrimp_s;1977;10869.9;
seabobshrimp_s;1978;9021.1;
seabobshrimp_s;1979;13137.7;
seabobshrimp_s;1980;9116.3;
seabobshrimp_s;1981;8101.1;
seabobshrimp_s;1982;6636.0;
seabobshrimp_s;1983;7171.9;
seabobshrimp_s;1984;9122.8;
seabobshrimp_s;1985;6363.7;
seabobshrimp_s;1986;4958.3;
seabobshrimp_s;1987;4711.8;
seabobshrimp_s;1988;4009.2;
seabobshrimp_s;1989;3899.0;
seabobshrimp_s;1990;2154.9;
seabobshrimp_s;1991;1850.5;
seabobshrimp_s;1992;1897.2;
seabobshrimp_s;1993;2402;
seabobshrimp_s;1994;2920.7;
seabobshrimp_s;1995;3300.5;
seabobshrimp_s;1996;3832;
seabobshrimp_s;1997;3193;
seabobshrimp_s;1998;4227;
seabobshrimp_s;1999;2568;
seabobshrimp_s;2000;1600.3;
seabobshrimp_s;2001;2552.1;
seabobshrimp_s;2002;3151.4;
seabobshrimp_s;2003;1638.4;
seabobshrimp_s;2004;1360.0;
seabobshrimp_s;2005;1496.7;
seabobshrimp_s;2006;2359.6;
seabobshrimp_s;2007;3035.5;
seabobshrimp_s;2008;2219.1;
seabobshrimp_s;2009;2318.0;
seabobshrimp_s;2010;3274.5;
seabobshrimp_s;2011;2538.1;
seabobshrimp_s;2012;2060.0;
seabobshrimp_s;2013;2834.2;
seabobshrimp_s;2014;2684.7;
seabobshrimp_s;2015;2947.4;
