"Stock","yr","ct","bt"
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1950,100,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1951,150,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1952,200,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1953,300,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1954,400,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1955,500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1956,600,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1957,900,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1958,1000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1959,1500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1960,2000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1961,2500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1962,3000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1963,800,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1964,500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1965,400,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1966,500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1967,300,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1968,200,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1969,900,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1970,2000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1971,2500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1972,4500,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1973,4000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1974,2000,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1975,1800,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1976,900,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1977,600,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1978,300,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1979,200,NA
"Exemplo_curso_Alvo_do_exemplo_Media_resiliencia",1980,80,NA
