Dados históricos Cavala Preta _ Pesca Industrial;;;;;;;
;Linha mão;;Rede cerco;;Total;;
ano;Desembarque (ton);Esforço(N viagens);Desembarque (ton);Esforço(dias mar);Desembarque (ton);Esforço(dias mar);Observação
1989;;;165,696;459;165,696;459;
1990;;;207,517;452;207,517;452;
1991;;;242,225;1154;242,225;1154;
1992;;;1116,246;807;1116,246;807;
1993;;;148,56;577;148,56;577;
1994;;;671,263;2821;671,263;2821;engenhos agregados
1995;;;868,654;3106;868,654;3106;engenhos agregados
1996;;;966,037;3426;966,037;3426;engenhos agregados
1997;;;2194,416;4154;2194,416;4154;engenhos agregados
1998;;;1882,119;5359;1882,119;5359;engenhos agregados
1999;;;1622,012;5949;1622,012;5949;engenhos agregados
2000;;;1075,395;3575;1075,395;3575;
2001;1,47;1371;847,7;1996;849,17;3367;
2002;5,6;2346;1751,447;2992;1757,047;5338;
2003;2,4;1733;1398,02;2557;1400,42;4290;
2004;7,2;967;1085,991;1581;1093,191;2548;
2005;3,5;480;1460,566;705;1464,066;1185;
2006;;458;1937,453;902;1937,453;1360;
2007;4,85;791;2292,716;2337;2297,566;3128;
2008;0,75;2307;2033,549;2664;2034,299;4971;
2009;9,1;2921;1373,338;3243;1382,438;6164;
2010;;3630;1442,3;3567;1442,3;7197;
2011;6,67;3780;1911,578;3057;1918,248;6837;
2012;2;2727;2488,848;3435;2490,848;6162;
2013;;;;;2210,1055;;Sem esforço
2014;;;;;1273,7752;4946;engenhos agregados
