Year,Industrial_effort_days,Industrial_D_macarellus_t,Industrial_K_pelamis_t,Industrial_A_thazard_t,Industrial_E_alleteratus_t,Artisanal_effort_trips,Artisanal_D_macarellus_t,Artisanal_K_pelamis_t,Artisanal_A_thazard_t,Artisanal_E_alleteratus_t
2004,2682,1093,683,133,65,141718,648,26,11,69
2005,1068,1464,245,164,38,118854,717,43,12,21
2006,1738,2351,668,192,109,125094,276,27,21,43
2007,4916,2298,279,279,164,118501,557,22,26,128
2008,4971,2034,265,219,138,117369,352,91,31,12
2009,6184,1382,482,307,369,136001,389,109,50,33
2010,7197,1442,463,295,179,144752,307,67,41,17
2011,6818,1921,572,516,83,145282,242,98,8,28
2012,6264,2498,236,1181,55,146373,145,70,15,74
2013,6760,2210,768,2022,216,59055,4,108,18,60
2014,4946,1274,1181,5329,149,140269,113,38,149,88
2015,5267,642,577,5532,32,158542,2,13,30,23
2016,5658,376,523,2447,23,119289,1,13,30,23
2017,5290,677,1892,1556,47,113212,2,36,92,5
2018,5405,2334,1127,4643,98,59537,28,28,128,6
2019,3465,795,328,1447,44,97346,11,26,84,12
2020,3469,417,563,2302,99,90032,14,30,101,8
2021,3700,159,1024,3663,76,82305,17,28,104,8
2022,3112,154,1215,1301,20,89894,14,28,96,9
2023,2702,209,680,1271,14,87410,15,29,101,8
