Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;5/9/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;10;5/9/2016;07:  :00;5/9/2016;1;08:  :00;1;1780;BOCA CORVO                          ;0
;;;;;;;;;;;;;5/4/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;14;5/4/2016;07:  :00;5/4/2016;1;10:30:00;3;1781;FORMIGUINHA                         ;0
;;;;;;;;;;;;;5/9/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;5/9/2016;06:30:00;5/9/2016;1;12:  :00;5;1151;ZARANHA                             ;0
;;;;;;;;;;;;;7/12/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;7/12/2016;05:50:00;7/12/2016;1;10:40:00;4;1844;LAGOA                               ;0
;;;;;;;;;;;;;7/16/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;7/16/2016;06:10:00;7/16/2016;1;10:  :00;3;1886;JOAO REDONDO                        ;0
;;;;;;;;;;;;;6/8/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;6/8/2016;06:10:00;6/8/2016;1;08:50:00;2;1844;LAGOA                               ;0
;;;;;;;;;;;;;6/4/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;6/4/2016;06:20:00;6/4/2016;1;10:40:00;4;1887;PONTA                               ;0
;;;;;;;;;;;;;6/13/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;6/13/2016;6 :  :00;6/13/2016;1;11:20:00;5;1886;JOAO REDONDO                        ;0
;;;;;;;;;;;;;6/16/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;14;6/16/2016;10:50:00;6/16/2016;1;12:  :00;1;1887;PONTA                               ;0
;;;;;;;;;;;;;8/16/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;10;8/16/2016;06:40:00;8/16/2016;1;10:  :00;3;1844;LAGOA                               ;0
