ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
São Vicente;Baía Porto Novo;1/9/2018;1/10/2018;1;10;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;12112
São Vicente;Baía Porto Novo;1/9/2018;1/10/2018;1;10;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;9000
São Vicente;São José;1/9/2018;1/10/2018;1;10;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;12131
São Vicente;Baía Porto Novo;1/10/2018;1/11/2018;1;11;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;2000
São Vicente;Baía Porto Novo;1/10/2018;1/11/2018;1;11;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;8500
São Vicente;São João Baptista;1/10/2018;1/11/2018;1;11;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;4500
São Vicente;São João Baptista;1/10/2018;1/11/2018;1;11;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;8800
São Vicente;Cristalina A;1/11/2018;1/12/2018;1;12;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;8014
São Vicente;Baía Porto Novo;1/11/2018;1/12/2018;1;12;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;8000
São Vicente;Baía Porto Novo;1/11/2018;1/12/2018;1;12;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;600
São Vicente;São José;1/11/2018;1/12/2018;1;12;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;7833
São Vicente;São José;1/11/2018;1/12/2018;1;12;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;500
São Vicente;Baía Porto Novo;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;20115
São Vicente;Sal Rei;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;2000
São Vicente;São João Baptista;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Flamengo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;7073
São Vicente;Cristalina A;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;26369
São Vicente;Cristalina A;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;1300
São Vicente;Tantum;1/15/2018;1/16/2018;1;16;2018;CPCI;Mercado de peixe;Ribeira de caixa;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;700
São Vicente;Tantum;1/15/2018;1/16/2018;1;16;2018;CPCI;Mercado de peixe;Ribeira de caixa;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;400
São Vicente;Maranata;1/15/2018;1/16/2018;1;16;2018;CPCI;Mercado de peixe;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;4500
São Vicente;Laginha;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Flamengo;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;2700
São Vicente;São José;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Tarrafal de Monte Trigo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;12000
São Vicente;São José;1/14/2018;1/15/2018;1;15;2018;CPCI;CPCI;Tarrafal de Monte Trigo;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;400
São Vicente;Sal Rei;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Flamengo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;7000
São Vicente;Baía Porto Novo;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;22038
São Vicente;Cristalina A;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;11000
São Vicente;Frescura Baía;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;3000
São Vicente;São João Baptista;1/15/2018;1/16/2018;1;16;2018;CPCI;CPCI;Flamengo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;17000
São Vicente;Maranata;1/16/2018;1/17/2018;1;17;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;5000
São Vicente;Frescura Baía;1/17/2018;1/18/2018;1;18;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;2000
São Vicente;São José;1/16/2018;1/18/2018;1;18;2018;CPCI;CPCI;Monte Trigo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;4351
São Vicente;Cristalina A;1/17/2018;1/18/2018;1;18;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;1500
São Vicente;Djesone;1/17/2018;1/18/2018;1;18;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;2022
São Vicente;Djesone;1/18/2018;1/19/2018;1;19;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;7000
São Vicente;Frescura Baía;1/18/2018;1/19/2018;1;19;2018;CPCI;Mercado de peixe;Praia Formosa;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;700
São Vicente;Tantum;1/22/2018;1/23/2018;1;23;2018;CPCI;Mercado de peixe;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;500
São Vicente;Tantum;1/22/2018;1/23/2018;1;23;2018;CPCI;Mercado de peixe;Póss de pau;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;100
São Vicente;Sal Rei;1/22/2018;1/23/2018;1;23;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;4800
São Vicente;Cristalina A;1/22/2018;1/23/2018;1;23;2018;CPCI;Mercado de peixe;Flamengo;Rede de cerco;Demersais;Sargo d'areia;Lithognathus mormyrus;350
São Vicente;Cristalina A;1/22/2018;1/23/2018;1;23;2018;CPCI;Mercado de peixe;Flamengo;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;400
São Vicente;Baía Porto Novo;1/22/2018;1/23/2018;1;23;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;2200
São Vicente;Ponta Peça;1/22/2018;1/23/2018;1;23;2018;CPCI;CPCI;Farol de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;10042
São Vicente;Ponta Peça;1/22/2018;1/23/2018;1;23;2018;CPCI;CPCI;Farol de São Pedro;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;300
São Vicente;Tantum;1/23/2018;1/24/2018;1;24;2018;CPCI;CPCI/ Mercado de peixe;Póss de pau;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;3500
São Vicente;Tantum;1/23/2018;1/24/2018;1;24;2018;CPCI;CPCI/ Mercado de peixe;Póss de pau;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;400
São Vicente;Djesone;1/23/2018;1/24/2018;1;24;2018;CPCI;CPCI;Porto Novo;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;3000
São Vicente;Barbara;1/23/2018;1/24/2018;1;24;2018;CPCI;CPCI;Sul de São Pedro;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;5914
São Vicente;Baía Porto Novo;1/23/2018;1/24/2018;1;24;2018;CPCI;CPCI;Póss de pau;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;6800
