Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;2/12/2019;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;18;BARBARA                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;16;2/11/2019;15:00:00;2/12/2019;1;03:30:00;12;1721;RIBEIRA TORTA                       ;0
;;;;;;;;;;;;;1/16/2019;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3052;VOLUNTARIO                          ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;14;1/16/2019;07:30:00;1/16/2019;1;09:11:00;1;1639;PRAIA BAIXO                         ;8
;;;;;;;;;;;;;1/4/2019;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;16;DJESONE                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;1/3/2019;14:00:00;1/4/2019;1;04:00:00;14;1821;POSS PO                             ;32,92
;;;;;;;;;;;;;2/28/2019;INDUSTRIAL          ;S;9;SANTIAGO                            ;12;SANTA CATARINA                      ;64;RIBEIRA DA BARCA                    ;I;65;NOVO RUMO                           ;238;RIBEIRA DA BARCA                    ;238;RIBEIRA DA BARCA                    ;14;2/28/2019;06:00:00;2/28/2019;1;11:00:00;5;1750;ANGRA                               ;0
;;;;;;;;;;;;;3/12/2025;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;21;MESTRE PIMENTEL                     ;222;PALMEIRA                            ;222;PALMEIRA                            ;6;3/12/2025;06:00:00;3/12/2025;1;10:21:00;4;1825;RASO                                ;20
;;;;;;;;;;;;;6/12/2020;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;18;BARBARA                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;6/12/2020;24:00:00;6/12/2020;1;05:00:00;0;1821;POSS PO                             ;0
;;;;;;;;;;;;;10/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;10/4/2024;08:00:00;10/5/2024;1;12:52:00;28;1718;MAIO                                ;0
;;;;;;;;;;;;;9/28/2020;INDUSTRIAL          ;S;9;SANTIAGO                            ;12;SANTA CATARINA                      ;64;RIBEIRA DA BARCA                    ;S;65;NOVO RUMO                           ;238;RIBEIRA DA BARCA                    ;238;RIBEIRA DA BARCA                    ;14;2/28/2020;06:00:00;2/28/2020;1;11:00:00;5;1750;ANGRA                               ;0
;;;;;;;;;;;;;4/17/2025;INDUSTRIAL          ;B;3;S. NICOLAU                          ;7;TARRAFAL S. NICOLAU                 ;17;TARRAFAL SN                         ;I;3074;ORCA I                              ;274;TARRAFAL DE SAO NICOLAU             ;274;TARRAFAL DE SAO NICOLAU             ;20;4/7/2025;21:00:00;4/12/2025;5;08:00:00;107;1335;PALMEIRA                            ;0
;;;;;;;;;;;;;5/25/2025;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;20;LUTA DE PESCADOR                    ;222;PALMEIRA                            ;222;PALMEIRA                            ;20;5/21/2025;06:00:00;5/25/2025;4;09:00:00;99;1923;ILHEU RASO                          ;0
;;;;;;;;;;;;;8/22/2019;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;56;CALHAU                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;17;8/20/2019;10:00:00;8/22/2019;2;20:00:00;58;1828;VARANDINHA                          ;60
;;;;;;;;;;;;;1/28/2020;INDUSTRIAL          ;S;9;SANTIAGO                            ;12;SANTA CATARINA                      ;64;RIBEIRA DA BARCA                    ;S;65;NOVO RUMO                           ;238;RIBEIRA DA BARCA                    ;238;RIBEIRA DA BARCA                    ;14;2/28/2020;06:00:00;2/28/2020;1;11:00:00;5;1750;ANGRA                               ;0
;;;;;;;;;;;;;2/12/2019;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;3037;SAO JOAO                            ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;2/11/2019;14:00:00;2/12/2019;1;05:00:00;15;1821;POSS PO                             ;0
;;;;;;;;;;;;;2/28/2020;INDUSTRIAL          ;S;9;SANTIAGO                            ;12;SANTA CATARINA                      ;64;RIBEIRA DA BARCA                    ;S;65;NOVO RUMO                           ;238;RIBEIRA DA BARCA                    ;238;RIBEIRA DA BARCA                    ;14;2/28/2020;06:00:00;2/28/2020;1;11:00:00;5;1750;ANGRA                               ;0
;;;;;;;;;;;;;8/28/2019;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;3037;SAO JOAO                            ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;8/27/2019;16:00:00;8/28/2019;1;12:00:00;20;1821;POSS PO                             ;0
;;;;;;;;;;;;;2/12/2019;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;16;DJESONE                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;2/11/2019;16:00:00;2/12/2019;1;04:00:00;12;1821;POSS PO                             ;0
;;;;;;;;;;;;;1/4/2020;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;16;DJESONE                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;18;1/3/2020;14:00:00;1/4/2020;1;04:00:00;14;1821;POSS PO                             ;32,92
;;;;;;;;;;;;;4/15/2019;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3052;VOLUNTARIO                          ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;12;4/15/2019;07:00:00;4/15/2019;1;10:00:00;3;1681;P.BARBO                             ;20
