Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;10/5/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3599;GALILEIA                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;16;10/4/2024;08:00:00;10/5/2024;1;12:52:00;28;1718;MAIO                                ;0
;;;;;;;;;;;;;7/16/2024;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;16;DJESONE                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;16;7/15/2024;17:44:00;7/16/2024;1;07:35:00;13;1821;POSS PO                             ;17
98179;2024;8;TUNIDEOS                            ;SCOMBRIDAE                          ;AUXIS                               ;Auxis sp                            ;CACHORRINHA, JUDEU OU MELVA         ;13;REDE DE CERCO                       ;27197;76,71;2086281,87;8/23/2024;INDUSTRIAL          ;B;3;S. NICOLAU                          ;7;TARRAFAL S. NICOLAU                 ;17;TARRAFAL SN                         ;I;82;BAIA PORTO NOVO                     ;274;TARRAFAL DE SAO NICOLAU             ;274;TARRAFAL DE SAO NICOLAU             ;21;8/19/2024;13:00:00;8/23/2024;4;06:00:00;89;1338;SANTA MARIA                         ;0
96999;2024;2;DEMERSAIS                           ;LUTJANIDAE                          ;LUTJANUS                            ;Lutjanus sp.                        ;GORAZ                               ;13;REDE DE CERCO                       ;500;336,83;168415;2/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3029;CRISTALINA                          ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;22;2/8/2024;07:00:00;2/9/2024;1;14:18:00;31;1847;SAL                                 ;0
96999;2024;2;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS MACARELLUS               ;CAVALA PRETA                        ;13;REDE DE CERCO                       ;2000;160,22;320440;2/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3029;CRISTALINA                          ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;22;2/8/2024;07:00:00;2/9/2024;1;14:18:00;31;1847;SAL                                 ;0
96999;2024;2;PEQUENOS PELAGICOS                  ;CARANGIDAE                          ;DECAPTERUS                          ;DECAPTERUS PUNCTATUS                ;CAVALA BRANCA                       ;13;REDE DE CERCO                       ;1500;147,2;220800;2/9/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3029;CRISTALINA                          ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;22;2/8/2024;07:00:00;2/9/2024;1;14:18:00;31;1847;SAL                                 ;0
89672;2024;12;TUNIDEOS                            ;SCOMBRIDAE                          ;THUNNUS                             ;THUNNUS ALBACARES                   ;ALBACORA OU ATUM                    ;3;LINHA A MAO                         ;1611;306,6;493932,6;12/2/2024;INDUSTRIAL          ;B;2;S. VICENTE                          ;5;S. VICENTE                          ;11;MINDELO                             ;I;84;MARANATA                            ;281;CPCI                                ;281;CPCI                                ;12;12/1/2024;14:00:00;12/2/2024;1;06:00:00;16;1846;NOROESTE                            ;0
89672;2024;12;TUNIDEOS                            ;SCOMBRIDAE                          ;ACANTHOCYBIUM                       ;ACANTHOCYBIUM SOLANDRI              ;SERRA, DJEU OU ILHEU                ;3;LINHA A MAO                         ;1924;263,22;506435,28;12/2/2024;INDUSTRIAL          ;B;2;S. VICENTE                          ;5;S. VICENTE                          ;11;MINDELO                             ;I;84;MARANATA                            ;281;CPCI                                ;281;CPCI                                ;12;12/1/2024;14:00:00;12/2/2024;1;06:00:00;16;1846;NOROESTE                            ;0
98469;2024;11;DEMERSAIS                           ;SPARIDAE                            ;DIPLODUS                            ;DIPLODUS PRAYENSIS                  ;SARGO SALEMA                        ;13;REDE DE CERCO                       ;100;150;15000;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
98469;2024;11;DEMERSAIS                           ;MULLIDAE                            ;PSEUDUPENEUS                        ;PSEUDUPENEUS PRAYENSIS              ;SALMONETE                           ;13;REDE DE CERCO                       ;500;239,34;119670;11/18/2024;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;69;RINCOM                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;11/17/2024;05:00:00;11/18/2024;1;12:37:00;31;1740;BOA VISTA                           ;0
