"cenario","N","RMSE","SDNR","DIC","min_Geweke_p","min_Heidel_p"
"J1_C1_ingenuo","35","68.3","0.96","-201.6","0.015","0.054"
"J2_C2C3_nominal","35","73.4","1","-244.1","0.37","0.608"
"J3_BASE_C2C5","35","67.7","0.93","-245","0.388","0.279"
"J5_soC5_curto","10","73.6","0.76","-288","0.21","0.151"
"J6_BASE_Fox","35","75.2","1.01","-244.8","0.086","0.17"
"J7_BASE_rBaixo","35","67.1","0.94","-237.6","0.137","0.196"
"J8_BASE_rAlto","35","75.4","1.02","-247.2","0.007","0.087"
"J9_soC3_curto","10","69.2","0.93","-289.2","0.267","0.083"
"J10_BASE_kBaixo","35","67.5","0.93","-248","0.198","0.11"
"J11_BASE_kAlto","35","73.4","1.01","-247.7","0.12","0.065"
"J12_soC2_historico","25","73.2","1.02","-261.9","0.178","0.269"
"J18_BASE_C2C6","35","69.2","0.94","-242","0.082","0.172"
"J13_C5curto_base","10","76.9","0.98","-82.5","0.264","0.096"
"J14_C5curto_rBaixo","10","86.2","0.99","-85.8","0.115","0.096"
"J15_C5curto_rAlto","10","67","1","-81.3","0.133","0.081"
"J16_C5curto_kBaixo","10","76.2","0.99","-82.7","0.184","0.441"
"J17_C5curto_kAlto","10","76.6","1","-83.3","0.225","0.144"
"J19_C6curto_base","10","72.3","0.91","-86.1","0.452","0.374"
