"cenario","P_BK_menor_0.2","P_BK_entre","P_BK_maior_0.8","mediana_BK","bimodal"
"J1_C1_ingenuo","0.4817","0.4579","0.0604","0.204543575893659","FALSE"
"J2_C2C3_nominal","0.0663","0.0654","0.8683","0.941383826870942","FALSE"
"J3_BASE_C2C5","0.4943","0.027","0.4787","0.462271518875584","TRUE"
"J5_soC5_curto","0.5","0.0281","0.4719","0.368501191133335","TRUE"
"J6_BASE_Fox","0","0.041","0.959","0.950090208409575","FALSE"
"J7_BASE_rBaixo","0.494","0.1532","0.3528","0.222131592953511","TRUE"
"J8_BASE_rAlto","0","0.0051","0.9949","0.96929413267061","FALSE"
"J9_soC3_curto","0.9796","0.0204","0","0.0330693024728658","FALSE"
"J10_BASE_kBaixo","0.5","0.0071","0.4929","0.3661312372312","TRUE"
"J11_BASE_kAlto","0","0.0551","0.9449","0.959297265979624","FALSE"
"J12_soC2_historico","0","0.038","0.962","0.959117320726638","FALSE"
"J18_BASE_C2C6","0.4824","0.0513","0.4663","0.520868267001916","TRUE"
"J13_C5curto_base","0.8205","0.1582","0.0213","0.110754843155054","FALSE"
"J14_C5curto_rBaixo","0.6952","0.3048","0","0.145607733783706","FALSE"
"J15_C5curto_rAlto","0.8449","0.1525","0.0026","0.10811284134397","FALSE"
"J16_C5curto_kBaixo","0.8111","0.1845","0.0044","0.123157947379447","FALSE"
"J17_C5curto_kAlto","0.9216","0.0784","0","0.0592479158669179","FALSE"
"J19_C6curto_base","0.8044","0.192","0.0036","0.107910061435838","FALSE"
