"cenario","parametro","mu","lci","uci"
"J1_C1_ingenuo","K","17201.8996837404","11203.8681009628","37536.0025585582"
"J1_C1_ingenuo","r","0.267088526330941","0.14797555829487","0.528231167368391"
"J1_C1_ingenuo","psi","0.730333455665447","0.455719364842","1.15238909461676"
"J1_C1_ingenuo","sigma.proc","0.071","0.037","0.194"
"J1_C1_ingenuo","m","2","2","2"
"J1_C1_ingenuo","Hmsy","0.134","0.074","0.264"
"J1_C1_ingenuo","SBmsy","8600.95","5601.934","18768.001"
"J1_C1_ingenuo","MSY","1147.275","757.283","3944.303"
"J1_C1_ingenuo","BmsyK","0.5","0.5","0.5"
"J2_C2C3_nominal","K","22209.843979391","10745.4361766838","61549.4633762872"
"J2_C2C3_nominal","r","0.476274793817451","0.227710778519615","0.927739412277449"
"J2_C2C3_nominal","psi","0.783424222853805","0.4914415856538","1.23057911785774"
"J2_C2C3_nominal","sigma.proc","0.058","0.039","0.119"
"J2_C2C3_nominal","m","2","2","2"
"J2_C2C3_nominal","Hmsy","0.238","0.114","0.464"
"J2_C2C3_nominal","SBmsy","11104.922","5372.718","30774.732"
"J2_C2C3_nominal","MSY","2664.202","1165.459","7033.776"
"J2_C2C3_nominal","BmsyK","0.5","0.5","0.5"
"J3_BASE_C2C5","K","15097.1778584667","8440.01849986322","47077.0070228847"
"J3_BASE_C2C5","r","0.477210858258998","0.240153872499828","0.885876127065651"
"J3_BASE_C2C5","psi","0.780597690505663","0.475720693226141","1.21386217554448"
"J3_BASE_C2C5","sigma.proc","0.055","0.038","0.111"
"J3_BASE_C2C5","m","2","2","2"
"J3_BASE_C2C5","Hmsy","0.239","0.12","0.443"
"J3_BASE_C2C5","SBmsy","7548.589","4220.009","23538.504"
"J3_BASE_C2C5","MSY","1603.019","1088.095","5766.658"
"J3_BASE_C2C5","BmsyK","0.5","0.5","0.5"
"J5_soC5_curto","K","15818.0982480148","8357.91485818647","59776.3984160148"
"J5_soC5_curto","r","0.449643828865788","0.228151366185016","0.860678978553156"
"J5_soC5_curto","psi","0.894478464528327","0.560101091405053","1.28069909855907"
"J5_soC5_curto","sigma.proc","0.051","0.033","0.091"
"J5_soC5_curto","m","2","2","2"
"J5_soC5_curto","Hmsy","0.225","0.114","0.43"
"J5_soC5_curto","SBmsy","7909.049","4178.957","29888.199"
"J5_soC5_curto","MSY","1600.732","1110.366","7276.994"
"J5_soC5_curto","BmsyK","0.5","0.5","0.5"
"J6_BASE_Fox","K","19375.8275153708","8630.62607491828","52808.1640181943"
"J6_BASE_Fox","r","0.478952703086295","0.225467601527508","0.907243792665894"
"J6_BASE_Fox","psi","0.797182717610045","0.509895726403441","1.21612617433197"
"J6_BASE_Fox","sigma.proc","0.054","0.034","0.103"
"J6_BASE_Fox","m","1.001","1.001","1.001"
"J6_BASE_Fox","Hmsy","0.478","0.225","0.906"
"J6_BASE_Fox","SBmsy","7131.531","3176.617","19436.747"
"J6_BASE_Fox","MSY","3229.727","1644.371","9059.627"
"J6_BASE_Fox","BmsyK","0.368","0.368","0.368"
"J7_BASE_rBaixo","K","21064.5938662711","11092.142641677","59420.9475730608"
"J7_BASE_rBaixo","r","0.264902812185081","0.117405597462052","0.575145853324319"
"J7_BASE_rBaixo","psi","0.727050031230287","0.474683360710485","1.143078273482"
"J7_BASE_rBaixo","sigma.proc","0.063","0.04","0.155"
"J7_BASE_rBaixo","m","2","2","2"
"J7_BASE_rBaixo","Hmsy","0.132","0.059","0.288"
"J7_BASE_rBaixo","SBmsy","10532.297","5546.071","29710.474"
"J7_BASE_rBaixo","MSY","1323.955","687.086","4390.817"
"J7_BASE_rBaixo","BmsyK","0.5","0.5","0.5"
"J8_BASE_rAlto","K","16024.711461108","8075.23529105157","42555.2355928615"
"J8_BASE_rAlto","r","0.775461904979586","0.458821058185924","1.34107395561206"
"J8_BASE_rAlto","psi","0.832194835073933","0.527471989731202","1.25211577006069"
"J8_BASE_rAlto","sigma.proc","0.052","0.035","0.092"
"J8_BASE_rAlto","m","2","2","2"
"J8_BASE_rAlto","Hmsy","0.388","0.229","0.671"
"J8_BASE_rAlto","SBmsy","8012.356","4037.618","21277.618"
"J8_BASE_rAlto","MSY","3048.877","1781.139","8445.62"
"J8_BASE_rAlto","BmsyK","0.5","0.5","0.5"
"J9_soC3_curto","K","14977.0828491699","9405.95543756436","22666.0978466986"
"J9_soC3_curto","r","0.340758459767086","0.179790209886923","0.631864850745129"
"J9_soC3_curto","psi","0.889558354032338","0.564711230156639","1.2898040247181"
"J9_soC3_curto","sigma.proc","0.051","0.034","0.094"
"J9_soC3_curto","m","2","2","2"
"J9_soC3_curto","Hmsy","0.17","0.09","0.316"
"J9_soC3_curto","SBmsy","7488.541","4702.978","11333.049"
"J9_soC3_curto","MSY","1284.051","936.559","1602.528"
"J9_soC3_curto","BmsyK","0.5","0.5","0.5"
"J10_BASE_kBaixo","K","9128.9715857551","5777.77469792821","14785.6668604258"
"J10_BASE_kBaixo","r","0.759756067407569","0.432991668199854","1.31161400375753"
"J10_BASE_kBaixo","psi","0.802126381529904","0.509994626868563","1.21384961768236"
"J10_BASE_kBaixo","sigma.proc","0.055","0.036","0.119"
"J10_BASE_kBaixo","m","2","2","2"
"J10_BASE_kBaixo","Hmsy","0.38","0.216","0.656"
"J10_BASE_kBaixo","SBmsy","4564.486","2888.887","7392.833"
"J10_BASE_kBaixo","MSY","1673.609","1244.213","2764.356"
"J10_BASE_kBaixo","BmsyK","0.5","0.5","0.5"
"J11_BASE_kAlto","K","41667.0398363409","21422.3283528896","86116.2427594481"
"J11_BASE_kAlto","r","0.400916541396512","0.20130427973263","0.792545121221137"
"J11_BASE_kAlto","psi","0.801625442418087","0.498761543953808","1.22929660824713"
"J11_BASE_kAlto","sigma.proc","0.057","0.037","0.106"
"J11_BASE_kAlto","m","2","2","2"
"J11_BASE_kAlto","Hmsy","0.2","0.101","0.396"
"J11_BASE_kAlto","SBmsy","20833.52","10711.164","43058.121"
"J11_BASE_kAlto","MSY","4159.501","1803.399","10977.134"
"J11_BASE_kAlto","BmsyK","0.5","0.5","0.5"
"J12_soC2_historico","K","24597.6384398244","11775.4184015137","74551.5993034658"
"J12_soC2_historico","r","0.45308527589028","0.22842264527926","0.876710192808713"
"J12_soC2_historico","psi","0.793992621745914","0.495970014420262","1.23434546567915"
"J12_soC2_historico","sigma.proc","0.053","0.035","0.1"
"J12_soC2_historico","m","2","2","2"
"J12_soC2_historico","Hmsy","0.227","0.114","0.438"
"J12_soC2_historico","SBmsy","12298.819","5887.709","37275.8"
"J12_soC2_historico","MSY","2704.401","1455.892","8414.183"
"J12_soC2_historico","BmsyK","0.5","0.5","0.5"
"J18_BASE_C2C6","K","17127.8961562566","9315.14643916281","56172.1604721919"
"J18_BASE_C2C6","r","0.417918087658229","0.196413003941617","0.8880985269976"
"J18_BASE_C2C6","psi","0.752338405491416","0.450686006867886","1.1840339905303"
"J18_BASE_C2C6","sigma.proc","0.057","0.036","0.124"
"J18_BASE_C2C6","m","2","2","2"
"J18_BASE_C2C6","Hmsy","0.209","0.098","0.444"
"J18_BASE_C2C6","SBmsy","8563.948","4657.573","28086.08"
"J18_BASE_C2C6","MSY","1550.919","976.687","6403.781"
"J18_BASE_C2C6","BmsyK","0.5","0.5","0.5"
"J13_C5curto_base","K","6241.90904838942","3651.39110048995","13228.5037608855"
"J13_C5curto_base","r","0.393702635553276","0.207480948130438","0.746788542977443"
"J13_C5curto_base","psi","0.306506931501784","0.123837748996595","0.965933943464146"
"J13_C5curto_base","sigma.proc","0.054","0.036","0.095"
"J13_C5curto_base","m","2","2","2"
"J13_C5curto_base","Hmsy","0.197","0.104","0.373"
"J13_C5curto_base","SBmsy","3120.955","1825.696","6614.252"
"J13_C5curto_base","MSY","634.806","329.214","1223.191"
"J13_C5curto_base","BmsyK","0.5","0.5","0.5"
"J14_C5curto_rBaixo","K","7323.65864563361","4384.01151181835","14430.9729331129"
"J14_C5curto_rBaixo","r","0.213323164107408","0.101969869123316","0.442475201694916"
"J14_C5curto_rBaixo","psi","0.438826243917421","0.185677718855781","0.950848561333802"
"J14_C5curto_rBaixo","sigma.proc","0.052","0.034","0.097"
"J14_C5curto_rBaixo","m","2","2","2"
"J14_C5curto_rBaixo","Hmsy","0.107","0.051","0.221"
"J14_C5curto_rBaixo","SBmsy","3661.829","2192.006","7215.486"
"J14_C5curto_rBaixo","MSY","399.533","194.928","806.215"
"J14_C5curto_rBaixo","BmsyK","0.5","0.5","0.5"
"J15_C5curto_rAlto","K","4698.94753748857","2950.21080629634","8583.06479753638"
"J15_C5curto_rAlto","r","0.625628598063226","0.387924775763082","0.950986400212578"
"J15_C5curto_rAlto","psi","0.244101833640542","0.109226331543746","0.606009243446493"
"J15_C5curto_rAlto","sigma.proc","0.054","0.035","0.098"
"J15_C5curto_rAlto","m","2","2","2"
"J15_C5curto_rAlto","Hmsy","0.313","0.194","0.475"
"J15_C5curto_rAlto","SBmsy","2349.474","1475.105","4291.532"
"J15_C5curto_rAlto","MSY","737.428","461.06","1209.687"
"J15_C5curto_rAlto","BmsyK","0.5","0.5","0.5"
"J16_C5curto_kBaixo","K","5077.62032356732","3379.32229545897","8048.86398126699"
"J16_C5curto_kBaixo","r","0.444250323252235","0.226071762680497","0.777998142480737"
"J16_C5curto_kBaixo","psi","0.343854804607086","0.160420444988743","0.849083344137747"
"J16_C5curto_kBaixo","sigma.proc","0.053","0.035","0.098"
"J16_C5curto_kBaixo","m","2","2","2"
"J16_C5curto_kBaixo","Hmsy","0.222","0.113","0.389"
"J16_C5curto_kBaixo","SBmsy","2538.81","1689.661","4024.432"
"J16_C5curto_kBaixo","MSY","572.099","314.847","919.807"
"J16_C5curto_kBaixo","BmsyK","0.5","0.5","0.5"
