"base","metrica","fator","nivel","valor","delta_pct"
"J3_BASE_C2C5","MSY","Forma da curva de producao","J6_BASE_Fox","3229.72706134575","101.477823230745"
"J3_BASE_C2C5","MSY","Indice usado","J5_soC5_curto","1600.73237277874","-0.14262260661054"
"J3_BASE_C2C5","MSY","Indice usado","J18_BASE_C2C6","1550.91897026123","-3.25009754684967"
"J3_BASE_C2C5","MSY","Indice usado","J9_soC3_curto","1284.05136174536","-19.8979144779089"
"J3_BASE_C2C5","MSY","Indice usado","J1_C1_ingenuo","1147.27450509611","-28.4303702621297"
"J3_BASE_C2C5","MSY","Indice usado","J2_C2C3_nominal","2664.20216479739","66.1990758396637"
"J3_BASE_C2C5","MSY","Indice usado","J12_soC2_historico","2704.40138473485","68.7067958961068"
"J3_BASE_C2C5","MSY","Prior de K","J10_BASE_kBaixo","1673.60870957785","4.40357136719153"
"J3_BASE_C2C5","MSY","Prior de K","J11_BASE_kAlto","4159.50079857005","159.479253418165"
"J3_BASE_C2C5","MSY","Prior de r","J7_BASE_rBaixo","1323.95502360444","-17.4086320160799"
"J3_BASE_C2C5","MSY","Prior de r","J8_BASE_rAlto","3048.87675872355","90.19596423435"
"J3_BASE_C2C5","B/Bmsy final","Forma da curva de producao","J6_BASE_Fox","2.58132282501096","179.199855453965"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J5_soC5_curto","0.737002382266671","-20.2846863614555"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J1_C1_ingenuo","0.409087151787319","-55.7525031195551"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J9_soC3_curto","0.0661386049457315","-92.846346546873"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J18_BASE_C2C6","1.04173653400383","12.6758291899231"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J2_C2C3_nominal","1.88276765374188","103.643051417214"
"J3_BASE_C2C5","B/Bmsy final","Indice usado","J12_soC2_historico","1.91823464145328","107.479215474829"
"J3_BASE_C2C5","B/Bmsy final","Prior de K","J10_BASE_kBaixo","0.732262474462399","-20.7973620953836"
"J3_BASE_C2C5","B/Bmsy final","Prior de K","J11_BASE_kAlto","1.91859453195925","107.518141786669"
"J3_BASE_C2C5","B/Bmsy final","Prior de r","J7_BASE_rBaixo","0.444263185907022","-51.9478090508761"
"J3_BASE_C2C5","B/Bmsy final","Prior de r","J8_BASE_rAlto","1.93858826534122","109.68069480644"
"J13_C5curto_base","MSY (janela curta)","Indice usado","J19_C6curto_base","491.789205163208","-22.5291860419409"
"J13_C5curto_base","MSY (janela curta)","Prior de K","J16_C5curto_kBaixo","572.099468459368","-9.87803103199152"
"J13_C5curto_base","MSY (janela curta)","Prior de K","J17_C5curto_kAlto","933.595924729277","47.0679621214973"
"J13_C5curto_base","MSY (janela curta)","Prior de r","J14_C5curto_rBaixo","399.532713426511","-37.0622124539073"
"J13_C5curto_base","MSY (janela curta)","Prior de r","J15_C5curto_rAlto","737.42787491658","16.1659042235179"
