"cenario","ano","variavel","mu","lci","uci"
"J1_C1_ingenuo","1989","B","12130.0661460889","6198.63280772894","32490.3485307815"
"J1_C1_ingenuo","1990","B","12452.8584151645","6629.38808654395","33350.0866202113"
"J1_C1_ingenuo","1991","B","12625.7144523679","6757.56485118586","34241.8515386654"
"J1_C1_ingenuo","1992","B","13087.271409207","7206.82735669747","34515.4716332669"
"J1_C1_ingenuo","1993","B","12227.4682544833","6200.18367489453","33727.8426704423"
"J1_C1_ingenuo","1994","B","12659.6577562329","6328.79539837817","34049.7456286124"
"J1_C1_ingenuo","1995","B","12612.1373271444","6487.23045248454","34414.7012267989"
"J1_C1_ingenuo","1996","B","12592.3538899396","6673.12146876351","34159.4971050307"
"J1_C1_ingenuo","1997","B","12604.526875203","7121.56375478924","33899.8306605513"
"J1_C1_ingenuo","1998","B","11421.7452635895","6201.13435616773","32756.4498858785"
"J1_C1_ingenuo","1999","B","10757.1429280159","5682.20969651595","32093.9073497283"
"J1_C1_ingenuo","2000","B","10510.7498756253","5615.33110879502","32042.8231134842"
"J1_C1_ingenuo","2001","B","10997.9492494229","6085.78930442083","32931.090804892"
"J1_C1_ingenuo","2002","B","11764.9155528741","6896.09397345285","34134.6726000325"
"J1_C1_ingenuo","2003","B","11569.90205789","6730.6691449375","33604.277150991"
"J1_C1_ingenuo","2004","B","11849.0356686858","6876.88392932663","34486.542178123"
"J1_C1_ingenuo","2005","B","12428.8362559432","7378.34713208938","35189.7477097861"
"J1_C1_ingenuo","2006","B","12310.4221202883","7419.58251368797","35521.9177918593"
"J1_C1_ingenuo","2007","B","11414.4899314227","6807.0925333572","34196.626734863"
"J1_C1_ingenuo","2008","B","10110.4801882628","5961.25284845409","32596.8215587844"
"J1_C1_ingenuo","2009","B","8984.41596996255","5244.49781571918","32181.8426464399"
"J1_C1_ingenuo","2010","B","8654.11248180777","5198.68195094003","32153.2291474285"
"J1_C1_ingenuo","2011","B","8283.54852287222","5043.40611099615","31844.6005104807"
"J1_C1_ingenuo","2012","B","7333.67908371282","4481.56483108569","31182.6564132443"
"J1_C1_ingenuo","2013","B","5570.10685140304","3171.73733202366","30127.0942557485"
"J1_C1_ingenuo","2014","B","4072.21807139638","2054.33330286138","29450.982577323"
"J1_C1_ingenuo","2015","B","3455.80156239166","1513.30140101436","29505.5317045375"
"J1_C1_ingenuo","2016","B","4043.84161456901","2046.70269452806","31348.9341691574"
"J1_C1_ingenuo","2017","B","4496.15309044736","2555.38631582552","32747.791362703"
"J1_C1_ingenuo","2018","B","4517.82492499883","2671.29554386322","33079.1726573819"
"J1_C1_ingenuo","2019","B","2789.25933028587","1340.42084742358","31700.366879367"
"J1_C1_ingenuo","2020","B","2396.08577010051","968.842194955556","31441.4209848829"
"J1_C1_ingenuo","2021","B","2317.21837046796","867.444172742012","31747.8966073224"
"J1_C1_ingenuo","2022","B","2559.21386031359","983.067461465552","32778.3469894775"
"J1_C1_ingenuo","2023","B","2887.74691057084","1140.57432421317","33224.5143016839"
"J1_C1_ingenuo","2024","B","3197.51504841143","1232.34047070852","33616.5794518848"
"J1_C1_ingenuo","2025","B","3486.89810478031","1230.02682009195","33584.6651139126"
"J1_C1_ingenuo","1989","F","0.013610494336207","0.00496298955196188","0.0296741766040298"
"J1_C1_ingenuo","1990","F","0.0166176461351693","0.0060738409519753","0.034819146625074"
"J1_C1_ingenuo","1991","F","0.0189972542267685","0.00703332306760387","0.0399570871003995"
"J1_C1_ingenuo","1992","F","0.0860875685136303","0.0313716492148872","0.178222563844096"
"J1_C1_ingenuo","1993","F","0.0121761675206516","0.00434526381091581","0.0260862860682738"
"J1_C1_ingenuo","1994","F","0.0532849509937329","0.0192011410113038","0.116135630539203"
"J1_C1_ingenuo","1995","F","0.0685703058714064","0.0239811170488752","0.145535237708763"
"J1_C1_ingenuo","1996","F","0.0761011118139729","0.027642459384824","0.155978297716549"
"J1_C1_ingenuo","1997","F","0.169752104602506","0.0638885800857964","0.32682513234914"
"J1_C1_ingenuo","1998","F","0.159639354952299","0.056312312544825","0.316168166423688"
"J1_C1_ingenuo","1999","F","0.145939349214481","0.0493314385765898","0.292925495105925"
"J1_C1_ingenuo","2000","F","0.0988066853109981","0.0324251440724566","0.204317640404604"
"J1_C1_ingenuo","2001","F","0.0756063532826032","0.0255032131799525","0.147890919257536"
"J1_C1_ingenuo","2002","F","0.14162829957984","0.0508013769542257","0.263121312859832"
"J1_C1_ingenuo","2003","F","0.114802866768625","0.0413992878883865","0.215453760174936"
"J1_C1_ingenuo","2004","F","0.0884635211166697","0.0310336198923057","0.167379106630228"
"J1_C1_ingenuo","2005","F","0.112732678908814","0.0388127402800473","0.208674582827704"
"J1_C1_ingenuo","2006","F","0.151686889391165","0.0523339284882326","0.277151144937652"
"J1_C1_ingenuo","2007","F","0.19605386392289","0.0651469372893786","0.349876505341431"
"J1_C1_ingenuo","2008","F","0.198703767152915","0.0609586565536068","0.360376795294726"
"J1_C1_ingenuo","2009","F","0.150505366269898","0.042324810482486","0.279516165216988"
"J1_C1_ingenuo","2010","F","0.165298956428715","0.0445594708967985","0.302274930593803"
"J1_C1_ingenuo","2011","F","0.229393837446649","0.0592557953698948","0.403371725326921"
"J1_C1_ingenuo","2012","F","0.353928956693077","0.0795464431220898","0.596045868253898"
"J1_C1_ingenuo","2013","F","0.409684506049062","0.0738368312099181","0.709193605277666"
"J1_C1_ingenuo","2014","F","0.318780487733528","0.0445745818788943","0.654984380704911"
"J1_C1_ingenuo","2015","F","0.00691618021129656","0.000816196488795035","0.017479406285278"
"J1_C1_ingenuo","2016","F","0.0459089881529942","0.00586148343422504","0.102201221698299"
"J1_C1_ingenuo","2017","F","0.140185449844444","0.0187584471816632","0.279380480729472"
"J1_C1_ingenuo","2018","F","0.536849546578563","0.0683056183258135","0.862936426123238"
"J1_C1_ingenuo","2019","F","0.301638513018506","0.0253205095536876","0.663024929729453"
"J1_C1_ingenuo","2020","F","0.176256995772299","0.0131218771516461","0.468849855441803"
"J1_C1_ingenuo","2021","F","0.0668890459087584","0.00479786023455767","0.198517719492905"
"J1_C1_ingenuo","2022","F","0.0595195014697125","0.00466488489074826","0.167135211877831"
"J1_C1_ingenuo","2023","F","0.0743478777381097","0.0065813204315488","0.202738699313239"
"J1_C1_ingenuo","2024","F","0.0895674467164029","0.00865584164591246","0.24952552609158"
"J1_C1_ingenuo","2025","F","0.0177710318728688","0.00183327144528143","0.052992398903326"
"J1_C1_ingenuo","1989","BBmsy","1.41224488182237","0.839534833016899","2.28634886658077"
"J1_C1_ingenuo","1990","BBmsy","1.47199127197054","0.870980152972203","2.18211718978483"
"J1_C1_ingenuo","1991","BBmsy","1.51364589863998","0.87183451001378","2.12801588982605"
"J1_C1_ingenuo","1992","BBmsy","1.5716316946278","0.916880944830853","2.14955372367953"
"J1_C1_ingenuo","1993","BBmsy","1.47255283260693","0.787541432360978","2.02287789528274"
"J1_C1_ingenuo","1994","BBmsy","1.52686386593851","0.800808566281292","2.04450429467986"
"J1_C1_ingenuo","1995","BBmsy","1.52690526766379","0.809086816162763","2.03224040890803"
"J1_C1_ingenuo","1996","BBmsy","1.51495545273579","0.838097926436916","2.02368904405304"
"J1_C1_ingenuo","1997","BBmsy","1.51446913659678","0.89890242469584","2.01864434202791"
"J1_C1_ingenuo","1998","BBmsy","1.35935546504415","0.807631303387212","1.89640756359563"
"J1_C1_ingenuo","1999","BBmsy","1.27137718269505","0.761095497769697","1.85643680575823"
"J1_C1_ingenuo","2000","BBmsy","1.2420121147548","0.770658833703935","1.84814932812305"
"J1_C1_ingenuo","2001","BBmsy","1.28905739249245","0.8465285148969","1.91171978378737"
"J1_C1_ingenuo","2002","BBmsy","1.37607962633658","0.968101022976969","2.01901762695771"
"J1_C1_ingenuo","2003","BBmsy","1.34998907767049","0.970153309157135","2.03785746323438"
"J1_C1_ingenuo","2004","BBmsy","1.3671094268618","1.00185789886283","2.16302990051479"
"J1_C1_ingenuo","2005","BBmsy","1.42746288669824","1.05346411388855","2.3928637072723"
"J1_C1_ingenuo","2006","BBmsy","1.40698341718484","1.04414085531755","2.4295172893801"
"J1_C1_ingenuo","2007","BBmsy","1.31277991432665","0.969170224811496","2.2385718871633"
"J1_C1_ingenuo","2008","BBmsy","1.16049819070684","0.846566131135026","2.01388985516175"
"J1_C1_ingenuo","2009","BBmsy","1.03619736635662","0.750439532521471","1.88311678952804"
"J1_C1_ingenuo","2010","BBmsy","1.00196038300147","0.727286643462716","1.87598132571403"
"J1_C1_ingenuo","2011","BBmsy","0.96110268736234","0.698411349704411","1.85979660193667"
"J1_C1_ingenuo","2012","BBmsy","0.85102326236255","0.611059305754346","1.80046838079556"
"J1_C1_ingenuo","2013","BBmsy","0.647013835271546","0.446214561894464","1.72364840852681"
"J1_C1_ingenuo","2014","BBmsy","0.470448766367063","0.302934638840419","1.68005900647044"
"J1_C1_ingenuo","2015","BBmsy","0.396753130233284","0.229236445928594","1.72502020044844"
"J1_C1_ingenuo","2016","BBmsy","0.468551261189747","0.293809315237417","1.84395937724624"
"J1_C1_ingenuo","2017","BBmsy","0.52768423718993","0.344962399067075","1.90197990362369"
"J1_C1_ingenuo","2018","BBmsy","0.533263919066987","0.351546342822983","1.90423232086432"
"J1_C1_ingenuo","2019","BBmsy","0.326860096559742","0.191634644933146","1.78309600895339"
"J1_C1_ingenuo","2020","BBmsy","0.281547622099311","0.141643981259658","1.82028200710662"
"J1_C1_ingenuo","2021","BBmsy","0.272861109742939","0.125049415606676","1.83937137793329"
"J1_C1_ingenuo","2022","BBmsy","0.298728752177859","0.140265578417269","1.88647432298039"
"J1_C1_ingenuo","2023","BBmsy","0.334295693777763","0.156603471016718","1.9103255815788"
"J1_C1_ingenuo","2024","BBmsy","0.371112169635267","0.163347842575384","1.92204286140304"
"J1_C1_ingenuo","2025","BBmsy","0.409087151787319","0.159117262691683","1.91882785326741"
"J1_C1_ingenuo","1989","FFmsy","0.105048831379437","0.0238447450631042","0.218944967664462"
"J1_C1_ingenuo","1990","FFmsy","0.127241008958979","0.0288445366788331","0.269298460387454"
"J1_C1_ingenuo","1991","FFmsy","0.143520695045029","0.0332464751594151","0.311175807563544"
"J1_C1_ingenuo","1992","FFmsy","0.649200496823743","0.14656191618845","1.43441417788288"
"J1_C1_ingenuo","1993","FFmsy","0.0913283929693631","0.0200670633386511","0.208589132998248"
"J1_C1_ingenuo","1994","FFmsy","0.403689761234586","0.0882996311617992","0.938032673128413"
"J1_C1_ingenuo","1995","FFmsy","0.515926869376367","0.117027754701005","1.15391805341907"
"J1_C1_ingenuo","1996","FFmsy","0.572403498510871","0.132798425699992","1.25181633837821"
"J1_C1_ingenuo","1997","FFmsy","1.27935246192819","0.283309298043624","2.56784675245287"
"J1_C1_ingenuo","1998","FFmsy","1.20820196970957","0.258418449618685","2.45158102454739"
"J1_C1_ingenuo","1999","FFmsy","1.10487219808244","0.234469277964041","2.21413277868266"
"J1_C1_ingenuo","2000","FFmsy","0.75197871392023","0.1497817647635","1.49264983216758"
"J1_C1_ingenuo","2001","FFmsy","0.574350223537297","0.118027220150581","1.08650203328536"
"J1_C1_ingenuo","2002","FFmsy","1.08075553677477","0.230829722519741","1.93780840688841"
"J1_C1_ingenuo","2003","FFmsy","0.879801860502611","0.192354012468277","1.54072200398801"
"J1_C1_ingenuo","2004","FFmsy","0.677782329108795","0.151475566000013","1.15679395474688"
"J1_C1_ingenuo","2005","FFmsy","0.861045248611231","0.1892958912458","1.48331256179647"
"J1_C1_ingenuo","2006","FFmsy","1.16094272760985","0.255277025950075","1.95144634723843"
"J1_C1_ingenuo","2007","FFmsy","1.49911045212903","0.308284656569849","2.47899826360228"
"J1_C1_ingenuo","2008","FFmsy","1.51746542273408","0.294026813223547","2.52673880393438"
"J1_C1_ingenuo","2009","FFmsy","1.15164456290557","0.19484788694867","1.93302519752389"
"J1_C1_ingenuo","2010","FFmsy","1.26337231829512","0.20756641180084","2.09767505045396"
"J1_C1_ingenuo","2011","FFmsy","1.75286902411056","0.274547173177688","2.87561883310384"
"J1_C1_ingenuo","2012","FFmsy","2.68098060389503","0.360689410724471","4.26073460867503"
"J1_C1_ingenuo","2013","FFmsy","3.15026550557126","0.327883600844124","4.77006481445755"
"J1_C1_ingenuo","2014","FFmsy","2.50247938973991","0.199049227431543","3.93833859987024"
"J1_C1_ingenuo","2015","FFmsy","0.0541268511512971","0.00362698278312939","0.102339852858002"
"J1_C1_ingenuo","2016","FFmsy","0.356537900355246","0.0261219702478421","0.651070351535349"
"J1_C1_ingenuo","2017","FFmsy","1.07982446349937","0.083715127983964","1.90203389726745"
"J1_C1_ingenuo","2018","FFmsy","4.05615314283401","0.29556055545086","6.23788946698395"
"J1_C1_ingenuo","2019","FFmsy","2.3417707267375","0.113250882178058","4.10320782196012"
"J1_C1_ingenuo","2020","FFmsy","1.38095505683509","0.0572859254232438","2.91096803573894"
"J1_C1_ingenuo","2021","FFmsy","0.522870834785766","0.0211820043674285","1.23630473545827"
"J1_C1_ingenuo","2022","FFmsy","0.46362103725201","0.0200762531415773","1.11522628367426"
"J1_C1_ingenuo","2023","FFmsy","0.576823226825646","0.0286315429888999","1.45127340850614"
"J1_C1_ingenuo","2024","FFmsy","0.695326123711553","0.0383895102146565","1.8929950789437"
"J1_C1_ingenuo","2025","FFmsy","0.135634831949477","0.0080985834670456","0.427830697658238"
"J1_C1_ingenuo","1989","BB0","0.706122440911183","0.41976741650845","1.14317443329038"
"J1_C1_ingenuo","1990","BB0","0.735995635985272","0.435490076486102","1.09105859489241"
"J1_C1_ingenuo","1991","BB0","0.756822949319991","0.43591725500689","1.06400794491302"
"J1_C1_ingenuo","1992","BB0","0.785815847313899","0.458440472415427","1.07477686183976"
"J1_C1_ingenuo","1993","BB0","0.736276416303464","0.393770716180489","1.01143894764137"
"J1_C1_ingenuo","1994","BB0","0.763431932969256","0.400404283140646","1.02225214733993"
"J1_C1_ingenuo","1995","BB0","0.763452633831893","0.404543408081381","1.01612020445402"
"J1_C1_ingenuo","1996","BB0","0.757477726367894","0.419048963218458","1.01184452202652"
"J1_C1_ingenuo","1997","BB0","0.757234568298391","0.44945121234792","1.00932217101396"
"J1_C1_ingenuo","1998","BB0","0.679677732522077","0.403815651693606","0.948203781797814"
"J1_C1_ingenuo","1999","BB0","0.635688591347524","0.380547748884849","0.928218402879115"
"J1_C1_ingenuo","2000","BB0","0.621006057377402","0.385329416851967","0.924074664061526"
"J1_C1_ingenuo","2001","BB0","0.644528696246227","0.42326425744845","0.955859891893683"
"J1_C1_ingenuo","2002","BB0","0.688039813168291","0.484050511488485","1.00950881347885"
"J1_C1_ingenuo","2003","BB0","0.674994538835247","0.485076654578568","1.01892873161719"
"J1_C1_ingenuo","2004","BB0","0.683554713430902","0.500928949431413","1.08151495025739"
"J1_C1_ingenuo","2005","BB0","0.713731443349121","0.526732056944275","1.19643185363615"
"J1_C1_ingenuo","2006","BB0","0.703491708592418","0.522070427658777","1.21475864469005"
"J1_C1_ingenuo","2007","BB0","0.656389957163323","0.484585112405748","1.11928594358165"
"J1_C1_ingenuo","2008","BB0","0.580249095353418","0.423283065567513","1.00694492758088"
"J1_C1_ingenuo","2009","BB0","0.518098683178309","0.375219766260735","0.941558394764018"
"J1_C1_ingenuo","2010","BB0","0.500980191500735","0.363643321731358","0.937990662857015"
"J1_C1_ingenuo","2011","BB0","0.48055134368117","0.349205674852205","0.929898300968333"
"J1_C1_ingenuo","2012","BB0","0.425511631181275","0.305529652877173","0.90023419039778"
"J1_C1_ingenuo","2013","BB0","0.323506917635773","0.223107280947232","0.861824204263403"
"J1_C1_ingenuo","2014","BB0","0.235224383183531","0.151467319420209","0.840029503235222"
"J1_C1_ingenuo","2015","BB0","0.198376565116642","0.114618222964297","0.862510100224221"
"J1_C1_ingenuo","2016","BB0","0.234275630594874","0.146904657618709","0.921979688623119"
"J1_C1_ingenuo","2017","BB0","0.263842118594965","0.172481199533537","0.950989951811844"
"J1_C1_ingenuo","2018","BB0","0.266631959533493","0.175773171411491","0.95211616043216"
"J1_C1_ingenuo","2019","BB0","0.163430048279871","0.0958173224665732","0.891548004476695"
"J1_C1_ingenuo","2020","BB0","0.140773811049656","0.0708219906298292","0.910141003553312"
"J1_C1_ingenuo","2021","BB0","0.13643055487147","0.062524707803338","0.919685688966647"
"J1_C1_ingenuo","2022","BB0","0.149364376088929","0.0701327892086343","0.943237161490194"
"J1_C1_ingenuo","2023","BB0","0.167147846888882","0.0783017355083591","0.955162790789402"
"J1_C1_ingenuo","2024","BB0","0.185556084817633","0.0816739212876919","0.961021430701519"
"J1_C1_ingenuo","2025","BB0","0.204543575893659","0.0795586313458417","0.959413926633703"
"J1_C1_ingenuo","1989","procB","-0.0223466684430798","-0.29115215622904","0.136289989524257"
"J1_C1_ingenuo","1990","procB","-0.0201258384004299","-0.278217555630472","0.14378502279974"
"J1_C1_ingenuo","1991","procB","-0.0218041040362991","-0.287807303004195","0.141416765488446"
"J1_C1_ingenuo","1992","procB","-0.00604138069627957","-0.21588538946267","0.187904730339434"
