"tempo","cenario","indice","cv","cv_origem","fonte","engenhos_agregados"
"1989","C1 nominal 1989-2025","0.72403190724283","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1990","C1 nominal 1989-2025","0.920817601176697","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1991","C1 nominal 1989-2025","0.420989750308951","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1992","C1 nominal 1989-2025","2.77424458808301","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1993","C1 nominal 1989-2025","0.516397872274933","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1994","C1 nominal 1989-2025","0.477252255968021","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1995","C1 nominal 1989-2025","0.560923634062302","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1996","C1 nominal 1989-2025","0.56554187650859","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1997","C1 nominal 1989-2025","1.05952408998","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1998","C1 nominal 1989-2025","0.70440379726065","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1999","C1 nominal 1989-2025","0.546850307371389","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"2000","C1 nominal 1989-2025","0.603323627187232","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2001","C1 nominal 1989-2025","0.851804662235567","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2002","C1 nominal 1989-2025","1.17406942189749","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2003","C1 nominal 1989-2025","1.09658177323984","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2004","C1 nominal 1989-2025","1.37769385964637","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2005","C1 nominal 1989-2025","4.15518568624537","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2006","C1 nominal 1989-2025","4.30807251568091","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2007","C1 nominal 1989-2025","1.9676593607098","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2008","C1 nominal 1989-2025","1.53101268017425","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2009","C1 nominal 1989-2025","0.849354231878906","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2010","C1 nominal 1989-2025","0.810981338487254","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
