"Amostragem","Ano","Mes","Grupo","Familia","Genero","Nome_cientifico","Especie","Engenho","Nome_engenho","Quantidade","Preco","Valor","Data_amostragem","Tipo_pesca","Regiao","Ilha","Nome_ilha","Concelho","Nome_concelho","Localidade","Nome_localidade","Tipo_embarcacao","Embarcacao","Nome_embarcacao","Porto_armamento","Nome_porto_armamento","Porto_desembarque","Nome_porto_desembarque","Numero_pescadores","Data_partida","Hora_partida","Data_chegada","Num_dias","Hora_chegada","Num_horas","Banco_pesca","Nome_banco_pesca","Profundidade_pesca_engenho1","fonte","nivel","engenhos_agregados","usar_na_serie"
"HIST_1989","1989",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","165696",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"459",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_1990","1990",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","207517",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_1991","1991",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","242225",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1154",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_1992","1992",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1116246",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"807",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_1993","1993",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","148560",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"577",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_1994","1994",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","671263",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2821",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
"HIST_1995","1995",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","868654",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3106",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
"HIST_1996","1996",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","966037",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3426",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
"HIST_1997","1997",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","2194416",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4154",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
"HIST_1998","1998",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","1882119",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5359",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
