"tempo","cenario","indice_bruto","se_log","cv","indice"
"2015","S1 nominal","0.203813559322034",NA,"0.367062565286517","1.04620574376647"
"2016","S1 nominal","0.359479768786127",NA,"0.221693718480314","1.84526387804086"
"2017","S1 nominal","0.299997023809524",NA,"0.104310663792962","1.53992997554427"
"2019","S1 nominal","0.3926205",NA,"0.147968156983437","2.01538025039561"
"2020","S1 nominal","0.227845319634703",NA,"0.125470338741392","1.16956439446452"
"2021","S1 nominal","0.0729026004728132",NA,"0.238938252353585","0.374220045044489"
"2022","S1 nominal","0.0651687186502508",NA,"0.218257648357655","0.334520863050462"
"2023","S1 nominal","0.10983862704918",NA,"0.141647466799783","0.56381824098713"
"2024","S1 nominal","0.157736550194121",NA,"0.155298330348711","0.809685505537199"
"2025","S1 nominal","0.058718536121673",NA,"0.192862690252015","0.301411103168992"
"2015","S0 sem tática","0.15491328516016","0.417946727831685","0.436880354835156","0.623866425642353"
"2016","S0 sem tática","0.5730510960021","0.227596089912563","0.230575513701666","2.30779005560206"
"2017","S0 sem tática","0.544500831765234","0.149173527462483","0.150007267628014","2.19281249714293"
"2019","S0 sem tática","0.449558275499412","0.158648998186081","0.159652531800515","1.81046005295024"
"2020","S0 sem tática","0.214559886327118","0.166284665337344","0.167440781709113","0.864075080653918"
"2021","S0 sem tática","0.0768199197088287","0.207434319211846","0.209685874903748","0.309369003938758"
"2022","S0 sem tática","0.075966444279787","0.215222333819698","0.21773886266953","0.305931889654213"
"2023","S0 sem tática","0.129076999356634","0.185035085397109","0.186630247811404","0.519818594886869"
"2024","S0 sem tática","0.157612812360995","0.187223463449795","0.188876176360262","0.634737955375701"
"2025","S0 sem tática","0.10705668713268","0.267160360641021","0.271999131140379","0.43113844415297"
"2015","S2 corrigida (tática discreta)","0.0975932973907189","0.434718874479878","0.456089240946876","0.537998123650779"
"2016","S2 corrigida (tática discreta)","0.382534929423398","0.240447140582809","0.243964718169836","2.10878287508547"
"2017","S2 corrigida (tática discreta)","0.403808985570014","0.158341801202254","0.159339496290088","2.22605939504461"
"2019","S2 corrigida (tática discreta)","0.329499845217384","0.16579654446142","0.166942470717027","1.81641878294639"
"2020","S2 corrigida (tática discreta)","0.165439626531691","0.174960961626521","0.176308487205925","0.912011490862897"
"2021","S2 corrigida (tática discreta)","0.0678174908271787","0.209932176637587","0.212266562209656","0.373854391553696"
"2022","S2 corrigida (tática discreta)","0.0560733599328059","0.220204903416625","0.222901512600094","0.309113056297996"
"2023","S2 corrigida (tática discreta)","0.0939786747366784","0.191870085164308","0.193649586432399","0.518071958047481"
"2024","S2 corrigida (tática discreta)","0.111963864087501","0.195267553155145","0.19714378353125","0.617218091879895"
"2025","S2 corrigida (tática discreta)","0.105298063122671","0.270465170178896","0.275487610893539","0.580471834630786"
"2015","S2t D1_tweedie","0.0579117716260592","0.451837043679725","0.475910019494115","0.583580118102617"
"2016","S2t D1_tweedie","0.205658654353798","0.278483982787458","0.283971583098604","2.07243360765376"
"2017","S2t D1_tweedie","0.186128044628783","0.20838352169262","0.210666316286292","1.87562257580455"
"2019","S2t D1_tweedie","0.19532505754711","0.210002864656917","0.212339623623987","1.96830138245073"
"2020","S2t D1_tweedie","0.104927355081008","0.214447718893343","0.216937000075148","1.05735874678053"
"2021","S2t D1_tweedie","0.0467670127628907","0.224995254193856","0.227872990270711","0.471273768098528"
"2022","S2t D1_tweedie","0.0337144227532235","0.235763799388741","0.239078263818201","0.339742098361817"
"2023","S2t D1_tweedie","0.0568281404598796","0.224082412389895","0.226925020172037","0.572660307048966"
"2024","S2t D1_tweedie","0.0582339006102136","0.231089522542599","0.234209305178038","0.586826229650214"
"2025","S2t D1_tweedie","0.0468590434140512","0.255935692638312","0.2601845969594","0.472201166048294"
"2015","S2b PCs COM cavala (circular)","0.00734112642257074","0.50986536256983","0.544868512988514","0.272890000881405"
"2016","S2b PCs COM cavala (circular)","0.0308623215160364","0.295907915684277","0.302505180573053","1.1472379660728"
"2017","S2b PCs COM cavala (circular)","0.0381395972468327","0.189932697371634","0.191658569259835","1.41775445990207"
"2019","S2b PCs COM cavala (circular)","0.0409883258704137","0.190830190396512","0.192580769014198","1.52364959259039"
"2020","S2b PCs COM cavala (circular)","0.0314925608149614","0.194075048712488","0.195916935223897","1.17066570630492"
"2021","S2b PCs COM cavala (circular)","0.0287084273545887","0.211910959455692","0.21431239896126","1.06717175473379"
"2022","S2b PCs COM cavala (circular)","0.0185495095565783","0.231160294259375","0.234282965481838","0.689536644360315"
"2023","S2b PCs COM cavala (circular)","0.0280933705455876","0.201609880333038","0.203676021125401","1.0443083897011"
"2024","S2b PCs COM cavala (circular)","0.0278690708670746","0.208294552790229","0.210574407051276","1.03597054943738"
"2025","S2b PCs COM cavala (circular)","0.016969812670236","0.299463801333756","0.306304812128888","0.630814936015816"
"2015","S3 esforço dirigido","0.521404874118684","0.508989872221243","0.543806396109694","0.935474907946719"
"2016","S3 esforço dirigido","1.03006089936157","0.289444467227065","0.295613895658942","1.84807655785443"
"2017","S3 esforço dirigido","1.45366603244305","0.169070239000587","0.170285672458475","2.60808474447709"
"2019","S3 esforço dirigido","1.02320104483123","0.210228365669318","0.212572706824871","1.83576899782989"
"2020","S3 esforço dirigido","0.529986971045857","0.212788969763867","0.215220572430104","0.950872417121344"
"2021","S3 esforço dirigido","0.141769401310745","0.320536376551061","0.328948618506045","0.254354579759151"
"2022","S3 esforço dirigido","0.232725698694186","0.267705698719802","0.272574458792465","0.417543184518109"
"2023","S3 esforço dirigido","0.158118676602052","0.26907113043086","0.274015530303153","0.283687517668453"
"2024","S3 esforço dirigido","0.237427517680844","0.248498473002119","0.252384574509141","0.425978920166268"
"2025","S3 esforço dirigido","0.245330595890672","0.449454510019819","0.473137886026097","0.440158172658548"
"2015","S2b PCs SEM cavala","0.134138965612681","0.457108465475991","0.48205922555212","0.688570502652328"
"2016","S2b PCs SEM cavala","0.38027647991097","0.251984332619977","0.256037759457965","1.9520589391991"
"2017","S2b PCs SEM cavala","0.477031492007112","0.162906757033259","0.163993586449739","2.44872780054653"
"2019","S2b PCs SEM cavala","0.387049183390166","0.172646358512455","0.173940890591434","1.9868250030172"
"2020","S2b PCs SEM cavala","0.156504467196008","0.182289464466449","0.183814345028436","0.803378490003076"
"2021","S2b PCs SEM cavala","0.0662203688073335","0.216846612028064","0.219420926491764","0.339926526399109"
"2022","S2b PCs SEM cavala","0.0663020031871324","0.2261077343781","0.229028675216859","0.340345577087886"
"2023","S2b PCs SEM cavala","0.0999056590634974","0.195255317517603","0.197131193343126","0.512841958822002"
"2024","S2b PCs SEM cavala","0.10536970294232","0.200283956763945","0.20230937432988","0.540890329576694"
"2025","S2b PCs SEM cavala","0.0752805615408299","0.304369725914078","0.311556961856181","0.386434872696069"
