"Yr","C1_nominal_total","C2_nominal_pre_alvo","C3_nominal_pos_alvo","C4_padronizada_sem_tatica","C5_padronizada_com_tatica","C6_nominal_dirigida"
"1989","0.2","0.2",NA,NA,NA,NA
"1990","0.2","0.2",NA,NA,NA,NA
"1991","0.2","0.2",NA,NA,NA,NA
"1992","0.2","0.2",NA,NA,NA,NA
"1993","0.2","0.2",NA,NA,NA,NA
"1994","0.2","0.2",NA,NA,NA,NA
"1995","0.2","0.2",NA,NA,NA,NA
"1996","0.2","0.2",NA,NA,NA,NA
"1997","0.2","0.2",NA,NA,NA,NA
"1998","0.2","0.2",NA,NA,NA,NA
"1999","0.2","0.2",NA,NA,NA,NA
"2000","0.2","0.2",NA,NA,NA,NA
"2001","0.2","0.2",NA,NA,NA,NA
"2002","0.2","0.2",NA,NA,NA,NA
"2003","0.2","0.2",NA,NA,NA,NA
"2004","0.2","0.2",NA,NA,NA,NA
"2005","0.2","0.2",NA,NA,NA,NA
"2006","0.2","0.2",NA,NA,NA,NA
"2007","0.2","0.2",NA,NA,NA,NA
"2008","0.2","0.2",NA,NA,NA,NA
"2009","0.2","0.2",NA,NA,NA,NA
"2010","0.2","0.2",NA,NA,NA,NA
"2011","0.2","0.2",NA,NA,NA,NA
"2012","0.2","0.2",NA,NA,NA,NA
"2014","0.2","0.2",NA,NA,NA,NA
"2015","0.367062565286517",NA,"0.367062565286517","0.436880354835156","0.456089240946876","0.391784500049876"
"2016","0.221693718480314",NA,"0.221693718480314","0.230575513701666","0.243964718169836","0.295355052065225"
"2017","0.2",NA,"0.2","0.2","0.2","0.2"
"2019","0.2",NA,"0.2","0.2","0.2","0.2"
"2020","0.2",NA,"0.2","0.2","0.2","0.2"
"2021","0.238938252353585",NA,"0.238938252353585","0.209685874903748","0.212266562209656","0.303637459758497"
"2022","0.218257648357655",NA,"0.218257648357655","0.21773886266953","0.222901512600094","0.24766941118219"
"2023","0.2",NA,"0.2","0.2","0.2","0.237811913318044"
"2024","0.2",NA,"0.2","0.2","0.2","0.25532506709909"
"2025","0.2",NA,"0.2","0.271999131140379","0.275487610893539","0.363512152477396"
