"ano","fonte","cavala_t","dias","n_viagens","cap_total_t","engenhos_agregados","usar_na_serie","cpue_nominal","periodo"
"1989","Historico 1989-2014 (agregado)","165.696","459",NA,NA,"FALSE","TRUE","0.360993464052288","pre-alvo (<=2014)"
"1990","Historico 1989-2014 (agregado)","207.517","452",NA,NA,"FALSE","TRUE","0.459108407079646","pre-alvo (<=2014)"
"1991","Historico 1989-2014 (agregado)","242.225","1154",NA,NA,"FALSE","TRUE","0.209900346620451","pre-alvo (<=2014)"
"1992","Historico 1989-2014 (agregado)","1116.246","807",NA,NA,"FALSE","TRUE","1.38320446096654","pre-alvo (<=2014)"
"1993","Historico 1989-2014 (agregado)","148.56","577",NA,NA,"FALSE","TRUE","0.257469670710572","pre-alvo (<=2014)"
"1994","Historico 1989-2014 (agregado)","671.263","2821",NA,NA,"TRUE","TRUE","0.237952144629564","pre-alvo (<=2014)"
"1995","Historico 1989-2014 (agregado)","868.654","3106",NA,NA,"TRUE","TRUE","0.279669671603348","pre-alvo (<=2014)"
"1996","Historico 1989-2014 (agregado)","966.037","3426",NA,NA,"TRUE","TRUE","0.281972270869819","pre-alvo (<=2014)"
"1997","Historico 1989-2014 (agregado)","2194.416","4154",NA,NA,"TRUE","TRUE","0.528265767934521","pre-alvo (<=2014)"
"1998","Historico 1989-2014 (agregado)","1882.119","5359",NA,NA,"TRUE","TRUE","0.351207128195559","pre-alvo (<=2014)"
"1999","Historico 1989-2014 (agregado)","1622.012","5949",NA,NA,"TRUE","TRUE","0.272652882837452","pre-alvo (<=2014)"
"2000","Historico 1989-2014 (agregado)","1075.395","3575",NA,NA,"FALSE","TRUE","0.30080979020979","pre-alvo (<=2014)"
"2001","Historico 1989-2014 (agregado)","847.7","1996",NA,NA,"FALSE","TRUE","0.424699398797595","pre-alvo (<=2014)"
"2002","Historico 1989-2014 (agregado)","1751.447","2992",NA,NA,"FALSE","TRUE","0.585376671122995","pre-alvo (<=2014)"
"2003","Historico 1989-2014 (agregado)","1398.02","2557",NA,NA,"FALSE","TRUE","0.54674227610481","pre-alvo (<=2014)"
"2004","Historico 1989-2014 (agregado)","1085.991","1581",NA,NA,"FALSE","TRUE","0.686901328273245","pre-alvo (<=2014)"
"2005","Historico 1989-2014 (agregado)","1460.566","705",NA,NA,"FALSE","TRUE","2.07172482269504","pre-alvo (<=2014)"
"2006","Historico 1989-2014 (agregado)","1937.453","902",NA,NA,"FALSE","TRUE","2.14795232815965","pre-alvo (<=2014)"
"2007","Historico 1989-2014 (agregado)","2292.716","2337",NA,NA,"FALSE","TRUE","0.981050919982884","pre-alvo (<=2014)"
"2008","Historico 1989-2014 (agregado)","2033.549","2664",NA,NA,"FALSE","TRUE","0.763344219219219","pre-alvo (<=2014)"
"2009","Historico 1989-2014 (agregado)","1373.338","3243",NA,NA,"FALSE","TRUE","0.423477644156645","pre-alvo (<=2014)"
"2010","Historico 1989-2014 (agregado)","1442.3","3567",NA,NA,"FALSE","TRUE","0.404345388281469","pre-alvo (<=2014)"
"2011","Historico 1989-2014 (agregado)","1911.578","3057",NA,NA,"FALSE","TRUE","0.625311743539418","pre-alvo (<=2014)"
"2012","Historico 1989-2014 (agregado)","2488.848","3435",NA,NA,"FALSE","TRUE","0.724555458515284","pre-alvo (<=2014)"
"2013","Historico 1989-2014 (agregado)","2210.1055",NA,NA,NA,"FALSE","FALSE",NA,"pre-alvo (<=2014)"
"2014","Historico 1989-2014 (agregado)","1273.7752","4946",NA,NA,"TRUE","TRUE","0.257536433481601","pre-alvo (<=2014)"
"2015","IMar viagem","24.05","124","115","172.8125","FALSE","TRUE","0.193951612903226","pos-alvo (>=2015)"
"2016","IMar viagem","186.57","528","192","852.405","FALSE","TRUE","0.353352272727273","pos-alvo (>=2015)"
"2017","IMar viagem","621.994","2226","1237","5088.0015","FALSE","TRUE","0.279422282120395","pos-alvo (>=2015)"
"2018","IMar 2018 (formato diferente)","2216.99","2142","1317","7968.823","FALSE","FALSE","1.03500933706816","pos-alvo (>=2015)"
"2019","IMar viagem","793.841","2080","1031","4335.592","FALSE","TRUE","0.381654326923077","pos-alvo (>=2015)"
"2020","IMar viagem","411.605","1832","1027","4652.1235","FALSE","TRUE","0.224675218340611","pos-alvo (>=2015)"
"2021","IMar viagem","155.539","2213","1232","6395.9325","FALSE","TRUE","0.0702842295526435","pos-alvo (>=2015)"
"2022","IMar viagem","151.855","2262","1008","4396.978","FALSE","TRUE","0.0671330680813439","pos-alvo (>=2015)"
"2023","IMar viagem","214.405","2049","902","4107.807","FALSE","TRUE","0.104638848218643","pos-alvo (>=2015)"
"2024","IMar viagem","286.399","1871","925","3987.5955","FALSE","TRUE","0.153072688401924","pos-alvo (>=2015)"
"2025","IMar viagem","61.8919","1102","607","3211.91037","FALSE","TRUE","0.0561632486388385","pos-alvo (>=2015)"
