"Stock","stock_base","category","region","source","init_yr","end_yr","type_data","scenario","r_method","bk_method","Continent","Region","Subregion","Group","Name","ScientificName","SpecCode","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","MSYBtrigger","Fmsy","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","btype","e.creep","force.cmsy","Comments"
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,0.59,0.7,1,NA,NA,NA,0.07,0.33,"None",NA,TRUE,NA
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.05,0.39,0.7,1,NA,NA,NA,0.07,0.33,"None",NA,TRUE,NA
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.3,0.79,0.7,1,NA,NA,NA,0.07,0.33,"None",NA,TRUE,NA
"Decapterus macarellus_NN_CMSY_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","NN_CMSY_Non-informative_r","Non-informative_r","NN_CMSY","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,1.5,0.7,1,NA,NA,NA,0.07,0.33,"None",NA,TRUE,NA
"Decapterus macarellus_zBRT_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","zBRT_Euler-lotka methods","Euler-lotka methods","zBRT","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,0.59,0.7,1,NA,NA,NA,0.05,0.69,"None",NA,TRUE,NA
"Decapterus macarellus_zBRT_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","zBRT_lower resilience","lower resilience","zBRT","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.05,0.39,0.7,1,NA,NA,NA,0.05,0.69,"None",NA,TRUE,NA
"Decapterus macarellus_zBRT_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","zBRT_Higher resilience","Higher resilience","zBRT","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.3,0.79,0.7,1,NA,NA,NA,0.05,0.69,"None",NA,TRUE,NA
"Decapterus macarellus_zBRT_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","zBRT_Non-informative_r","Non-informative_r","zBRT","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,1.5,0.7,1,NA,NA,NA,0.05,0.69,"None",NA,TRUE,NA
"Decapterus macarellus_Target_switch_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Target_switch_Euler-lotka methods","Euler-lotka methods","Target_switch","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,0.59,0.7,1,NA,NA,NA,0.2,0.7,"None",NA,TRUE,NA
"Decapterus macarellus_Target_switch_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Target_switch_lower resilience","lower resilience","Target_switch","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.05,0.39,0.7,1,NA,NA,NA,0.2,0.7,"None",NA,TRUE,NA
"Decapterus macarellus_Target_switch_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Target_switch_Higher resilience","Higher resilience","Target_switch","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.3,0.79,0.7,1,NA,NA,NA,0.2,0.7,"None",NA,TRUE,NA
"Decapterus macarellus_Target_switch_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Target_switch_Non-informative_r","Non-informative_r","Target_switch","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,1.5,0.7,1,NA,NA,NA,0.2,0.7,"None",NA,TRUE,NA
"Decapterus macarellus_Uninformative_bk_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Uninformative_bk_Euler-lotka methods","Euler-lotka methods","Uninformative_bk","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,0.59,0.7,1,NA,NA,NA,0.01,1,"None",NA,TRUE,NA
"Decapterus macarellus_Uninformative_bk_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Uninformative_bk_lower resilience","lower resilience","Uninformative_bk","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.05,0.39,0.7,1,NA,NA,NA,0.01,1,"None",NA,TRUE,NA
"Decapterus macarellus_Uninformative_bk_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Uninformative_bk_Higher resilience","Higher resilience","Uninformative_bk","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.3,0.79,0.7,1,NA,NA,NA,0.01,1,"None",NA,TRUE,NA
"Decapterus macarellus_Uninformative_bk_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados",1989,2015,"observado","Uninformative_bk_Non-informative_r","Non-informative_r","Uninformative_bk","Africa","Northwest Africa","Cabo Verde Archipelago","Carangidae","Cavala","Decapterus macarellus","D. macarellus","IMar - coleção de dados",1989,2015,1989,2015,NA,NA,NA,NA,NA,NA,NA,NA,"Medium",0.1,1.5,0.7,1,NA,NA,NA,0.01,1,"None",NA,TRUE,NA
