"stock_id","stock_base","category","region","source","name","type_data","scenario","r_method","bk_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"Decapterus macarellus_Uninformative_bk_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Uninformative_bk_Non-informative_r","Non-informative_r","Uninformative_bk",0.1,0.491675852849026,1.5,0.1,0.154183616656335,0.25,4,23.549407137931,80,22.78,41.4245994687314,62.14,0.01,0.504835615446456,1,0.09,0.440319831983248,0.75,1.37,1.7104614,2.05,1.11,1.49,2.07,0.05,0.09,0.12,11.39,16.24,31.07,0.06,0.17,0.06,0.12,1.8,0.18,0.9,1.5,0.136,0.631,0.265,0.537,0.379,0.385,0.736,0.914,0.619,-0.948559992442941,0.677012550275552,2.87571473735283,0.751214797011455
"Decapterus macarellus_Uninformative_bk_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Uninformative_bk_Higher resilience","Higher resilience","Uninformative_bk",0.4,0.648950368941159,1,0.35,0.486216409352817,0.68,5,11.7686074095326,23,9.23,12.362885152017,15.89,0.01,0.510157128545037,1,0.23,0.660450547533175,0.95,1.37,1.7104614,2.05,1.26,1.5,1.71,0.17,0.27,0.34,4.62,5.65,7.94,0.06,0.17,0.05,0.08,0.29,0.45,1.41,1.9,0.66,0.188,0.498,0.786,0.737,0.141,0.723,0.937,0.582,-0.458145365937077,0.229072682968539,2.3902518997742,0.371083156235097
"Decapterus macarellus_Uninformative_bk_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Uninformative_bk_lower resilience","lower resilience","Uninformative_bk",0.05,0.215460973474324,0.6,0.05,0.0769214189023342,0.12,10,49.170047679897,156,51.04,85.5576451004337,128.06,0.01,0.511390982094629,1,0.1,0.359623713210691,0.66,1.37,1.7104614,2.05,1.05,1.56,2.3,0.02,0.04,0.06,25.52,35.29,64.03,0.06,0.17,0.06,0.15,1.54,0.19,0.71,1.32,0.165,0.594,0.291,0.567,0.294,0.458,0.644,0.858,0.68,-1.75327894865999,0.621226662447,3.67252497044906,0.688346914557648
"Decapterus macarellus_Uninformative_bk_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Uninformative_bk_Euler-lotka methods","Euler-lotka methods","Uninformative_bk",0.2,0.423028816578903,0.8,0.18,0.25721419995876,0.39,7,19.3567817479843,43,14.75,21.3621242824696,28.89,0.01,0.50685180190252,1,0.19,0.537589765408018,0.87,1.37,1.7104614,2.05,1.06,1.41,1.72,0.09,0.14,0.19,7.38,9.78,14.44,0.06,0.17,0.05,0.11,0.43,0.38,1.07,1.74,0.376,0.387,0.404,0.687,0.327,0.428,0.716,0.93,0.642,-0.916290731874155,0.346573590279973,2.85040066496637,0.455073201975654
"Decapterus macarellus_Target_switch_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Target_switch_Non-informative_r","Non-informative_r","Target_switch",0.1,0.481007257722317,1.5,0.09,0.141961907142805,0.24,4,23.7185015306025,77,22.41,38.7976601577781,58.46,0.2,0.449304548040211,0.7,0.22,0.419101461798212,0.6,1.37,1.7104614,2.05,0.95,1.35,1.86,0.04,0.08,0.12,11.21,16.02,29.23,0.06,0.17,0.08,0.15,0.37,0.45,0.84,1.21,0.157,0.604,0.242,0.522,0.567,0.247,0.838,0.969,0.124,-0.948559992442941,0.677012550275552,2.8892464588646,0.730031568090217
"Decapterus macarellus_Target_switch_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Target_switch_Higher resilience","Higher resilience","Target_switch",0.4,0.645352284362924,1,0.34,0.451968778307284,0.61,5,11.8339826264484,23,10.03,12.9667964657316,16.29,0.2,0.451349200843752,0.7,0.24,0.545046672339132,0.77,1.37,1.7104614,2.05,1.24,1.48,1.67,0.17,0.24,0.3,5.01,6.04,8.15,0.06,0.17,0.06,0.1,0.25,0.48,1.13,1.53,0.486,0.303,0.378,0.67,1.082,-0.04,0.671,0.932,0.04,-0.458145365937077,0.229072682968539,2.3873081824834,0.373783307213345
"Decapterus macarellus_Target_switch_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Target_switch_lower resilience","lower resilience","Target_switch",0.05,0.210351149434796,0.6,0.05,0.0751385072898375,0.12,10,51.2883106841949,156,52.44,88.0267549672915,130.73,0.2,0.450129542253349,0.7,0.23,0.40552801320639,0.59,1.37,1.7104614,2.05,1.07,1.56,2.33,0.02,0.04,0.06,26.22,36.14,65.36,0.06,0.17,0.06,0.13,0.28,0.46,0.81,1.18,0.165,0.594,0.291,0.57,0.506,0.288,0.784,0.954,0.262,-1.75327894865999,0.621226662447,3.68517633656349,0.683245348099835
"Decapterus macarellus_Target_switch_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","Target_switch_Euler-lotka methods","Euler-lotka methods","Target_switch",0.2,0.423269026605381,0.8,0.18,0.25177691790805,0.37,7,19.0360496032468,42,14.78,21.3777859400609,28.65,0.2,0.448105374447048,0.7,0.27,0.485900688301769,0.7,1.37,1.7104614,2.05,1.06,1.34,1.62,0.09,0.14,0.19,7.39,9.64,14.33,0.06,0.17,0.07,0.13,0.26,0.54,0.97,1.41,0.345,0.413,0.369,0.67,0.678,0.177,0.85,0.977,0.11,-0.916290731874155,0.346573590279973,2.83816730539324,0.449489263191026
"Decapterus macarellus_zBRT_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","zBRT_Non-informative_r","Non-informative_r","zBRT",0.1,0.486241417351569,1.5,0.09,0.13646502875498,0.21,4,23.7325520655876,80,25.34,41.5263548030105,62.68,0.01,0.198489548875012,0.39,0.06,0.228836108075045,0.45,1.37,1.7104614,2.05,0.96,1.36,1.96,0.04,0.08,0.11,12.67,17.83,31.34,0.06,0.17,0.11,0.32,4.61,0.12,0.44,0.9,0.126,0.645,0.207,0.461,1.09,-0.044,0.872,0.987,0.184,-0.948559992442941,0.677012550275552,2.8904333386397,0.744906478575286
"Decapterus macarellus_zBRT_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","zBRT_Higher resilience","Higher resilience","zBRT",0.4,0.650432936686435,1,0.35,0.46345291550084,0.63,5,11.597846350318,23,9.74,12.5839266734766,15.5,0.01,0.199267393230591,0.39,0.03,0.184368409637125,0.44,1.37,1.7104614,2.05,1.25,1.47,1.66,0.18,0.25,0.31,4.87,5.77,7.75,0.06,0.17,0.12,0.55,14.88,0.06,0.32,0.88,0.485,0.303,0.407,0.691,1.475,-0.215,0.872,0.986,0.182,-0.458145365937077,0.229072682968539,2.38486669693704,0.37284315005356
"Decapterus macarellus_zBRT_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","zBRT_lower resilience","lower resilience","zBRT",0.05,0.210413031338926,0.6,0.05,0.073621878992305,0.12,10,49.0413133828028,154,50.08,86.0473622940252,129.44,0.01,0.198389383495794,0.39,0.06,0.227410316269107,0.42,1.37,1.7104614,2.05,1.02,1.49,2.25,0.02,0.04,0.06,25.04,35.17,64.72,0.06,0.17,0.1,0.28,4.08,0.12,0.45,0.84,0.182,0.574,0.275,0.549,0.889,0.057,0.85,0.985,0.148,-1.75327894865999,0.621226662447,3.66212332672353,0.688928636776827
"Decapterus macarellus_zBRT_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","zBRT_Euler-lotka methods","Euler-lotka methods","zBRT",0.2,0.423924921909799,0.8,0.17,0.242161625948319,0.35,7,19.1053535893024,43,15.19,21.7485908020494,29.72,0.01,0.200564410793007,0.39,0.04,0.25988866189882,0.55,1.37,1.7104614,2.05,1.04,1.33,1.6,0.08,0.13,0.18,7.59,10.08,14.86,0.06,0.17,0.1,0.3,11.84,0.07,0.47,1.09,0.347,0.411,0.331,0.614,1.968,-0.403,0.744,0.939,0.142,-0.916290731874155,0.346573590279973,2.84576491203464,0.457375710955363
"Decapterus macarellus_NN_CMSY_Non-informative_r","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Non-informative_r","Non-informative_r","NN_CMSY",0.1,0.483163260013773,1.5,0.09,0.144159190848178,0.23,4,23.2498277472632,76,23.32,38.1405822167963,58.26,0.02,0.119963030352338,0.22,0.03,0.118930508339867,0.23,1.37,1.7104614,2.05,0.96,1.33,1.83,0.05,0.08,0.11,11.66,16.12,29.13,0.06,0.17,0.26,1.19,13.98,0.07,0.23,0.46,0.136,0.632,0.233,0.505,1.095,-0.047,0.969,0.997,0.01,-0.948559992442941,0.677012550275552,2.8571159574991,0.739751419297731
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",0.4,0.648427096624741,1,0.34,0.455675535573727,0.65,5,11.6196568860577,23,9.64,12.8923732111407,15.87,0.02,0.119798938610319,0.22,0.03,0.113525400398386,0.24,1.37,1.7104614,2.05,1.25,1.48,1.69,0.17,0.26,0.32,4.82,5.78,7.94,0.06,0.17,0.24,1.23,13.58,0.06,0.21,0.47,0.549,0.259,0.392,0.694,1.084,-0.041,0.938,0.996,0.001,-0.458145365937077,0.229072682968539,2.38241761337666,0.374663571259023
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",0.05,0.208590388844867,0.6,0.05,0.0757349359463427,0.12,10,50.7774426759558,161,48.16,89.5885284522446,134.38,0.02,0.119795067329567,0.22,0.05,0.135073414752016,0.26,1.37,1.7104614,2.05,1.1,1.52,2.35,0.02,0.05,0.06,24.08,32.47,67.19,0.06,0.17,0.18,0.77,4.72,0.1,0.26,0.52,0.177,0.58,0.292,0.586,0.802,0.104,0.877,0.985,0.025,-1.75327894865999,0.621226662447,3.69769839209255,0.691672242258812
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",0.2,0.422987779634718,0.8,0.17,0.246909494973782,0.36,7,18.9768708198967,43,15.01,21.0418316234178,28.45,0.02,0.120110540260447,0.22,0.03,0.111811463542008,0.22,1.37,1.7104614,2.05,1.03,1.32,1.58,0.09,0.13,0.18,7.51,9.8,14.23,0.06,0.17,0.3,1.41,15.75,0.06,0.21,0.44,0.345,0.413,0.347,0.634,1.057,-0.028,0.933,0.994,0.005,-0.916290731874155,0.346573590279973,2.83246175415248,0.461546923644307
