"cenario","n_colapso","frac_colapso"
"NN_CMSY_Vieira (2019)",2,0.0298507462686567
"NN_CMSY_Jardim (1999)",2,0.0150375939849624
"zBRT_Vieira (2019)",4,0.0108991825613079
"Target_switch_Vieira (2019)",3,0.00473186119873817
"zBRT_Santos (2018)",2,0.00328407224958949
"zBRT_Jardim (1999)",1,0.00159489633173844
"NN_CMSY_Santos (2018)",0,0
"Target_switch_Jardim (1999)",0,0
"Target_switch_Santos (2018)",0,0
"Uninformative_bk_Jardim (1999)",0,0
"Uninformative_bk_Santos (2018)",0,0
"Uninformative_bk_Vieira (2019)",0,0
