"Yr","Catch_macarellus_t","Catch_total_frota_t","fonte","confiavel","engenhos_agregados","periodo"
"1989","165.696",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"1990","207.517",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"1991","242.225",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"1992","1116.246",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"1993","148.56",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"1994","671.263",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"1995","868.654",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"1996","966.037",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"1997","2194.416",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"1998","1882.119",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"1999","1622.012",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"2000","1075.395",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2001","847.7",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2002","1751.447",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2003","1398.02",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2004","1085.991",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2005","1460.566",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2006","1937.453",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2007","2292.716",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2008","2033.549",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2009","1373.338",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2010","1442.3",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2011","1911.578",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2012","2488.848",NA,"Historico 1989-2014 (agregado)","TRUE","FALSE","pre-alvo (<=2014)"
"2013","2210.106",NA,"Historico 1989-2014 (agregado)","FALSE","FALSE","pre-alvo (<=2014)"
"2014","1273.775",NA,"Historico 1989-2014 (agregado)","TRUE","TRUE","pre-alvo (<=2014)"
"2015","24.05","172.812","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2016","186.57","852.405","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2017","621.994","5088.002","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2018","2216.99","7968.823","IMar 2018 (formato diferente)","FALSE","FALSE","pos-alvo (>=2015)"
"2019","793.841","4335.592","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2020","411.605","4652.124","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2021","155.539","6395.932","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2022","151.855","4396.978","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2023","214.405","4107.807","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2024","286.399","3987.596","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
"2025","61.892","3211.91","IMar viagem","TRUE","FALSE","pos-alvo (>=2015)"
