"stock_group","stock_base","scenario","yr","B.Bmsy","F.Fmsy","bbmsy_text","ffmsy_text","status"
"Decapterus macarellus_NA","Decapterus macarellus","NN_CMSY_Euler-lotka methods",2015,0.31564101541465,1.96816455576601,"0.32 (0.25-0.41)","1.97 (1.11-3.31)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","NN_CMSY_Higher resilience",2015,0.303352631427009,1.8681160721803,"0.30 (0.26-0.35)","1.87 (1.33-2.53)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","NN_CMSY_lower resilience",2015,0.370280722813579,1.28404137134567,"0.37 (0.21-0.62)","1.28 (0.47-4.23)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","NN_CMSY_Non-informative_r",2015,0.331800607350954,1.99351237711982,"0.33 (0.24-0.48)","1.99 (0.92-3.86)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Target_switch_Euler-lotka methods",2015,0.355265260926627,1.55760283043896,"0.36 (0.26-0.61)","1.56 (0.59-2.90)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Target_switch_Higher resilience",2015,0.324523936230862,1.64071462605627,"0.32 (0.27-0.41)","1.64 (1.04-2.31)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Target_switch_lower resilience",2015,0.493045073236842,0.799173067176846,"0.49 (0.27-0.83)","0.80 (0.35-2.70)","Overfished but not overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Target_switch_Non-informative_r",2015,0.429424708773333,1.08792405246637,"0.43 (0.29-0.71)","1.09 (0.48-2.49)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Uninformative_bk_Euler-lotka methods",2015,0.406670666707175,1.17165489763336,"0.41 (0.27-0.65)","1.17 (0.55-2.72)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Uninformative_bk_Higher resilience",2015,0.395638377269365,1.09227006120085,"0.40 (0.30-0.64)","1.09 (0.50-1.91)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Uninformative_bk_lower resilience",2015,0.567018154845911,0.647342879668618,"0.57 (0.31-0.88)","0.65 (0.31-2.06)","Overfished but not overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","Uninformative_bk_Non-informative_r",2015,0.504707780365601,0.870895309456587,"0.50 (0.26-0.77)","0.87 (0.44-3.41)","Overfished but not overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","zBRT_Euler-lotka methods",2015,0.350802761003074,1.59775147419397,"0.35 (0.25-0.56)","1.60 (0.67-3.09)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","zBRT_Higher resilience",2015,0.315722312545943,1.71464749361646,"0.32 (0.27-0.39)","1.71 (1.11-2.42)","Overfished and overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","zBRT_lower resilience",2015,0.50558228969071,0.814368661622665,"0.51 (0.28-0.78)","0.81 (0.37-2.60)","Overfished but not overfishing"
"Decapterus macarellus_NA","Decapterus macarellus","zBRT_Non-informative_r",2015,0.398600571700721,1.17090878966136,"0.40 (0.25-0.68)","1.17 (0.46-3.17)","Overfished and overfishing"
