"cenario_id","bk_method","r_method","MSY"
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2059.50726091849
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1576.36310102712
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1805.50349229383
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1492.57687289613
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1760.09081849252
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1527.90302995956
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1476.15231017401
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2154.96115191494
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2014.13348326771
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1473.22333092861
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1651.21752926556
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1993.16332749749
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2374.73888469529
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1470.62718197508
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1469.83979180709
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1639.83206128985
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1614.82056225375
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2287.59909152705
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2625.64709908323
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1684.41675663452
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1436.80573879898
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1670.49466417375
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1836.49432743852
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1453.28119049196
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1734.27378018265
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1688.54774153258
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1284.3697234259
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1998.91356448007
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1501.30855267331
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1601.62912654618
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1551.0621474583
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1620.55593375788
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1142.38883806164
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1610.0172756362
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2140.786130254
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1390.97664459224
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1508.57122805384
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2195.55722738846
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1512.55622778969
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1685.87389260265
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1344.58505994696
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1688.34273252011
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1499.60710021635
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1590.57891706577
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1658.68911332435
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2292.00068142233
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1651.53900627168
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1706.09362117578
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1721.75116275989
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1671.85499621998
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1780.87061021793
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1989.24131876717
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1269.04772353341
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1989.24131876717
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1451.74819826951
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1624.19540752684
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2738.66628059074
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1410.12942746208
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1614.82056225375
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1995.10210566644
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1962.8600493092
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1663.78270635019
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1683.3075127865
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1429.91011096467
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1304.66120074278
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1810.26520112776
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1678.61239651145
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1470.3767899796
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1719.64583142474
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1862.24459237427
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2092.43793082659
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1811.39669173503
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2696.74613917129
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1556.11665486896
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2703.49816142595
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1370.75320908431
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1805.50349229383
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1517.07283527741
