"cenario_id","hipotese","m_hipotese","mediana","p2.5","p97.5","n_aceitos"
"NN_CMSY_M_Jardim(1981-1994)","NN_CMSY","M_Jardim(1981-1994)",1896.76940960781,1581.59097671675,2046.50798491055,3352
"NN_CMSY_M_Santos(2005-2018)","NN_CMSY","M_Santos(2005-2018)",1895.78924318226,1591.73666666511,2048.0192972471,3249
"NN_CMSY_M_Vieira(1988-2018)","NN_CMSY","M_Vieira(1988-2018)",1942.30586076255,1664.40262371655,2062.56293205513,2763
"Target_switch_M_Jardim(1981-1994)","Target_switch","M_Jardim(1981-1994)",2094.84712160516,1784.02028834971,2970.44209344343,8068
"Target_switch_M_Santos(2005-2018)","Target_switch","M_Santos(2005-2018)",2097.49896178802,1790.03098713053,2965.93701836391,7987
"Target_switch_M_Vieira(1988-2018)","Target_switch","M_Vieira(1988-2018)",2120.4475833564,1880.60318514831,2994.91696851887,7486
"Uninformative_bk_M_Jardim(1981-1994)","Uninformative_bk","M_Jardim(1981-1994)",2201.94916344533,1741.85867460399,5782.54218190867,6200
"Uninformative_bk_M_Santos(2005-2018)","Uninformative_bk","M_Santos(2005-2018)",2207.35158274206,1756.90033438855,5645.26797344752,6165
"Uninformative_bk_M_Vieira(1988-2018)","Uninformative_bk","M_Vieira(1988-2018)",2239.70147965634,1871.02847078755,6017.49660700968,5809
"zBRT_M_Jardim(1981-1994)","zBRT","M_Jardim(1981-1994)",2081.93630398228,1694.10979133825,2903.19646121169,6466
"zBRT_M_Santos(2005-2018)","zBRT","M_Santos(2005-2018)",2083.95688876514,1714.14079801104,2910.00328735717,6568
"zBRT_M_Vieira(1988-2018)","zBRT","M_Vieira(1988-2018)",2108.07972561025,1833.89811979869,2941.97580699658,6007
