"stock","scenario","r_prior_post","k_prior_post","bk_prior_post","RU","VR"
"Decapterus macarellus_Cabo Verde","NN_CMSY_Euler-lotka methods","0.42 (0.20-0.80)
0.25 (0.17-0.36)","19 (7-43)
21 (15-28)","0.12 (0.02-0.22)
0.11 (0.03-0.22)","RU r = 0.413
RU bk = -0.028",0.5
"Decapterus macarellus_Cabo Verde","NN_CMSY_Higher resilience","0.65 (0.40-1.00)
0.46 (0.34-0.65)","12 (5-23)
13 (10-16)","0.12 (0.02-0.22)
0.11 (0.03-0.24)","RU r = 0.259
RU bk = -0.041",0.1
"Decapterus macarellus_Cabo Verde","NN_CMSY_lower resilience","0.21 (0.05-0.60)
0.08 (0.05-0.12)","51 (10-161)
90 (48-134)","0.12 (0.02-0.22)
0.14 (0.05-0.26)","RU r = 0.580
RU bk = 0.104",2.5
"Decapterus macarellus_Cabo Verde","NN_CMSY_Non-informative_r","0.48 (0.10-1.50)
0.14 (0.09-0.23)","23 (4-76)
38 (23-58)","0.12 (0.02-0.22)
0.12 (0.03-0.23)","RU r = 0.632
RU bk = -0.047",1
"Decapterus macarellus_Cabo Verde","Target_switch_Euler-lotka methods","0.42 (0.20-0.80)
0.25 (0.18-0.37)","19 (7-42)
21 (15-29)","0.45 (0.20-0.70)
0.49 (0.27-0.70)","RU r = 0.413
RU bk = 0.177",11
"Decapterus macarellus_Cabo Verde","Target_switch_Higher resilience","0.65 (0.40-1.00)
0.45 (0.34-0.61)","12 (5-23)
13 (10-16)","0.45 (0.20-0.70)
0.55 (0.24-0.77)","RU r = 0.303
RU bk = -0.040",4
"Decapterus macarellus_Cabo Verde","Target_switch_lower resilience","0.21 (0.05-0.60)
0.08 (0.05-0.12)","51 (10-156)
88 (52-131)","0.45 (0.20-0.70)
0.41 (0.23-0.59)","RU r = 0.594
RU bk = 0.288",26.2
"Decapterus macarellus_Cabo Verde","Target_switch_Non-informative_r","0.48 (0.10-1.50)
0.14 (0.09-0.24)","24 (4-77)
39 (22-58)","0.45 (0.20-0.70)
0.42 (0.22-0.60)","RU r = 0.604
RU bk = 0.247",12.4
"Decapterus macarellus_Cabo Verde","Uninformative_bk_Euler-lotka methods","0.42 (0.20-0.80)
0.26 (0.18-0.39)","19 (7-43)
21 (15-29)","0.51 (0.01-1.00)
0.54 (0.19-0.87)","RU r = 0.387
RU bk = 0.428",64.2
"Decapterus macarellus_Cabo Verde","Uninformative_bk_Higher resilience","0.65 (0.40-1.00)
0.49 (0.35-0.68)","12 (5-23)
12 (9-16)","0.51 (0.01-1.00)
0.66 (0.23-0.95)","RU r = 0.188
RU bk = 0.141",58.2
"Decapterus macarellus_Cabo Verde","Uninformative_bk_lower resilience","0.22 (0.05-0.60)
0.08 (0.05-0.12)","49 (10-156)
86 (51-128)","0.51 (0.01-1.00)
0.36 (0.10-0.66)","RU r = 0.594
RU bk = 0.458",68
"Decapterus macarellus_Cabo Verde","Uninformative_bk_Non-informative_r","0.49 (0.10-1.50)
0.15 (0.10-0.25)","24 (4-80)
41 (23-62)","0.50 (0.01-1.00)
0.44 (0.09-0.75)","RU r = 0.631
RU bk = 0.385",61.9
"Decapterus macarellus_Cabo Verde","zBRT_Euler-lotka methods","0.42 (0.20-0.80)
0.24 (0.17-0.35)","19 (7-43)
22 (15-30)","0.20 (0.01-0.39)
0.26 (0.04-0.55)","RU r = 0.411
RU bk = -0.403",14.2
"Decapterus macarellus_Cabo Verde","zBRT_Higher resilience","0.65 (0.40-1.00)
0.46 (0.35-0.63)","12 (5-23)
13 (10-16)","0.20 (0.01-0.39)
0.18 (0.03-0.44)","RU r = 0.303
RU bk = -0.215",18.2
"Decapterus macarellus_Cabo Verde","zBRT_lower resilience","0.21 (0.05-0.60)
0.07 (0.05-0.12)","49 (10-154)
86 (50-129)","0.20 (0.01-0.39)
0.23 (0.06-0.42)","RU r = 0.574
RU bk = 0.057",14.8
"Decapterus macarellus_Cabo Verde","zBRT_Non-informative_r","0.49 (0.10-1.50)
0.14 (0.09-0.21)","24 (4-80)
42 (25-63)","0.20 (0.01-0.39)
0.23 (0.06-0.45)","RU r = 0.645
RU bk = -0.044",18.4
