"scenario","r_prior_post","k_prior_post","bk_prior_post","RU","VR"
"NN_CMSY_Euler-lotka methods","0.27 [0.10-0.59]
0.14 [0.10-0.23]","41 [12-103]
51 [31-77]","0.20 [0.07-0.33]
0.24 [0.11-0.40]"," r = 0.466
 bk = 0.013",8
"NN_CMSY_lower resilience","0.16 [0.05-0.39]
0.08 [0.05-0.12]","74 [19-205]
112 [64-168]","0.20 [0.07-0.33]
0.25 [0.13-0.42]"," r = 0.516
 bk = 0.071",10
"NN_CMSY_Higher resilience","0.50 [0.30-0.79]
0.38 [0.28-0.53]","19 [8-37]
20 [15-26]","0.20 [0.07-0.33]
0.21 [0.09-0.36]"," r = 0.251
 bk = -0.052",4.8
"NN_CMSY_Non-informative_r","0.49 [0.10-1.50]
0.15 [0.10-0.24]","29 [5-96]
47 [30-70]","0.20 [0.07-0.33]
0.23 [0.11-0.37]"," r = 0.625
 bk = 0.060",4.4
"zBRT_Euler-lotka methods","0.27 [0.10-0.59]
0.15 [0.10-0.23]","40 [12-100]
54 [35-79]","0.37 [0.05-0.69]
0.45 [0.23-0.71]"," r = 0.468
 bk = 0.335",40.7
"zBRT_lower resilience","0.16 [0.05-0.39]
0.08 [0.05-0.13]","73 [18-204]
114 [69-170]","0.37 [0.05-0.69]
0.49 [0.24-0.72]"," r = 0.518
 bk = 0.327",45
"zBRT_Higher resilience","0.50 [0.30-0.79]
0.40 [0.29-0.56]","19 [8-38]
21 [15-28]","0.37 [0.05-0.69]
0.46 [0.19-0.73]"," r = 0.236
 bk = 0.229",29.8
"zBRT_Non-informative_r","0.49 [0.10-1.50]
0.16 [0.10-0.26]","29 [5-96]
50 [31-72]","0.37 [0.05-0.69]
0.41 [0.19-0.67]"," r = 0.617
 bk = 0.338",25.6
"Target_switch_Euler-lotka methods","0.27 [0.10-0.59]
0.15 [0.10-0.23]","40 [12-100]
55 [35-79]","0.45 [0.20-0.70]
0.48 [0.26-0.68]"," r = 0.472
 bk = 0.189",38.5
"Target_switch_lower resilience","0.16 [0.05-0.39]
0.08 [0.05-0.13]","73 [19-201]
113 [71-165]","0.45 [0.20-0.70]
0.49 [0.28-0.69]"," r = 0.513
 bk = 0.222",42.7
"Target_switch_Higher resilience","0.50 [0.30-0.79]
0.40 [0.30-0.56]","19 [8-37]
21 [15-27]","0.45 [0.20-0.70]
0.48 [0.26-0.69]"," r = 0.289
 bk = 0.135",29.6
"Target_switch_Non-informative_r","0.49 [0.10-1.50]
0.16 [0.10-0.26]","28 [5-93]
50 [31-73]","0.45 [0.20-0.70]
0.49 [0.28-0.69]"," r = 0.610
 bk = 0.189",24.2
"Uninformative_bk_Euler-lotka methods","0.27 [0.10-0.59]
0.15 [0.10-0.24]","41 [12-103]
56 [35-82]","0.51 [0.01-1.00]
0.52 [0.16-0.82]"," r = 0.455
 bk = 0.471",79.5
"Uninformative_bk_lower resilience","0.16 [0.05-0.39]
0.08 [0.05-0.13]","74 [19-201]
115 [71-168]","0.50 [0.01-1.00]
0.54 [0.27-0.85]"," r = 0.489
 bk = 0.504",78.6
"Uninformative_bk_Higher resilience","0.50 [0.30-0.79]
0.42 [0.30-0.59]","19 [8-37]
21 [15-28]","0.50 [0.01-1.00]
0.54 [0.20-0.86]"," r = 0.232
 bk = 0.404",75.8
"Uninformative_bk_Non-informative_r","0.49 [0.10-1.50]
0.17 [0.10-0.28]","29 [5-95]
51 [32-75]","0.51 [0.01-1.00]
0.52 [0.16-0.82]"," r = 0.576
 bk = 0.450",73.3
