"cenario_id","hipotese","m_hipotese","m_fonte","bk_lo","bk_hi","n_total","n_aceitos","pct_aceitacao"
"NN_CMSY_M_Jardim(1981-1994)","NN_CMSY","M_Jardim(1981-1994)","Jardim (1999)",0.02,0.22,10000,139,1.4
"NN_CMSY_M_Santos(2005-2018)","NN_CMSY","M_Santos(2005-2018)","Santos (2018)",0.02,0.22,10000,115,1.1
"NN_CMSY_M_Vieira(1988-2018)","NN_CMSY","M_Vieira(1988-2018)","Vieira (2019)",0.02,0.22,10000,54,0.5
"zBRT_M_Jardim(1981-1994)","zBRT","M_Jardim(1981-1994)","Jardim (1999)",0.01,0.39,10000,521,5.2
"zBRT_M_Santos(2005-2018)","zBRT","M_Santos(2005-2018)","Santos (2018)",0.01,0.39,10000,487,4.9
"zBRT_M_Vieira(1988-2018)","zBRT","M_Vieira(1988-2018)","Vieira (2019)",0.01,0.39,10000,250,2.5
"Target_switch_M_Jardim(1981-1994)","Target_switch","M_Jardim(1981-1994)","Jardim (1999)",0.2,0.7,10000,2960,29.6
"Target_switch_M_Santos(2005-2018)","Target_switch","M_Santos(2005-2018)","Santos (2018)",0.2,0.7,10000,2869,28.7
"Target_switch_M_Vieira(1988-2018)","Target_switch","M_Vieira(1988-2018)","Vieira (2019)",0.2,0.7,10000,2020,20.2
"Uninformative_bk_M_Jardim(1981-1994)","Uninformative_bk","M_Jardim(1981-1994)","Jardim (1999)",0.01,1,10000,2743,27.4
"Uninformative_bk_M_Santos(2005-2018)","Uninformative_bk","M_Santos(2005-2018)","Santos (2018)",0.01,1,10000,2759,27.6
"Uninformative_bk_M_Vieira(1988-2018)","Uninformative_bk","M_Vieira(1988-2018)","Vieira (2019)",0.01,1,10000,1958,19.6
