year,SL50,SL95,FM,SPR,estimate_type,scenario,scenario_label,sensitivity_component,is_base,growth_id,growth_source,Linf,K,M,MK,MK_origin,maturity_id,maturity_source,maturity_sex,L50_input,L95_input,L50_origin,L95_origin,BinWidth
2004,29.14,33.45,12.98,0.39,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2005,28.98,33.23,11.68,0.39,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2006,28.83,32.91,10.85,0.39,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2007,28.58,32.36,9.84,0.4,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2008,28.51,32.07,8.87,0.42,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2009,28.5,31.98,7.99,0.43,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2010,28.73,32.26,7.69,0.45,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2011,29.03,32.61,7.82,0.46,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2012,29.28,32.94,7.9,0.47,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2013,29.69,33.47,8.02,0.49,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2014,30.12,34.14,8.42,0.51,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2015,30,34.07,7.09,0.52,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2016,29.73,33.81,5.93,0.53,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2017,29.63,33.92,5.19,0.54,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2018,29.62,34.03,4.66,0.55,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2019,29.8,34.4,4.33,0.57,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2020,29.39,33.86,3.67,0.58,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2021,29.57,34.16,3.33,0.59,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2022,29.93,34.73,3.21,0.59,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2023,29.81,34.39,3.02,0.59,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2024,29.73,34.21,2.98,0.59,smoothed,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2004,31.06,36.01,26.05,0.3668750176560763,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2005,28.76,34.19,7.09,0.36624256983161785,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2006,29.94,35.24,12.57,0.3652850841054664,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2007,26.79,29.73,9.54,0.3160704256341896,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2008,27.85,30.06,7.91,0.41137013630236785,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2009,26.2,28.22,2.17,0.4575749890546241,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2010,27.92,31.62,3.33,0.46321365538126447,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2011,29.54,32.88,8.42,0.4642197563496231,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2012,27.78,30.83,7.44,0.38751009466440167,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2013,29.43,32.14,5.27,0.5179494890461439,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2014,35.58,41.58,25.65,0.5414752902901784,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2015,31.53,35.87,5.44,0.5764845298277907,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2016,28.04,30.2,1.74,0.5771074781331218,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2017,28.73,33.9,3.04,0.48478046814822967,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
