year,SL50,SL95,FM,SPR,estimate_type,scenario,set,Linf,MK,L50_input,L95_input,BinWidth
2004,29.14,33.45,12.98,0.39,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2005,28.98,33.23,11.68,0.39,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2006,28.83,32.91,10.85,0.39,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2007,28.58,32.36,9.84,0.4,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2008,28.51,32.07,8.87,0.42,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2009,28.5,31.98,7.99,0.43,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2010,28.73,32.26,7.69,0.45,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2011,29.03,32.61,7.82,0.46,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2012,29.28,32.94,7.9,0.47,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2013,29.69,33.47,8.02,0.49,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2014,30.12,34.14,8.42,0.51,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2015,30,34.07,7.09,0.52,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2016,29.73,33.81,5.93,0.53,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2017,29.63,33.92,5.19,0.54,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2018,29.62,34.03,4.66,0.55,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
2019,29.8,34.4,4.33,0.57,smoothed,BASE,core,40.6,2.0444444444444443,21.068058595591573,23.928403002115303,1
