LMids,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,71,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
20,50,53,82,0,0,0,1,25,0,0,1,0,0,1,0,67,1,0,109,0,0
23,153,160,131,244,5,16,82,0,103,0,67,17,1,75,39,82,118,18,44,3,13
26,546,804,598,1088,537,583,385,192,556,117,61,74,39,110,387,131,238,143,101,101,172
29,667,550,518,385,1000,625,599,814,707,584,125,355,204,244,473,297,103,258,254,391,471
32,51,79,72,8,59,145,183,181,54,268,260,358,106,76,203,397,135,196,231,370,331
35,0,8,2,0,1,12,20,3,1,4,11,49,24,17,22,130,34,53,119,100,45
38,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,9,11,13,16,17,3
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
