LMids,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,8,21,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
19,15,5,6,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,13,0,0
20,23,13,28,0,0,0,0,11,0,0,0,0,0,0,0,26,0,0,49,0,0
21,12,35,48,0,0,0,1,6,0,0,1,0,0,1,0,38,1,0,47,0,0
22,28,46,30,18,0,0,4,0,7,0,1,4,0,17,0,29,16,0,37,0,0
23,66,26,42,72,0,2,35,0,47,0,31,4,0,41,5,43,35,3,5,0,6
24,59,88,59,154,5,14,43,0,49,0,35,9,1,17,34,10,67,15,2,3,7
25,57,166,112,197,46,105,47,13,64,4,8,27,1,9,93,15,86,35,8,17,26
26,232,196,229,427,164,244,151,62,164,21,4,19,15,62,128,47,90,40,43,22,36
27,257,442,257,464,327,234,187,117,328,92,49,28,23,39,166,69,62,68,50,62,110
28,295,243,219,248,489,236,216,294,416,111,70,76,65,76,142,98,51,79,74,108,183
29,272,201,194,108,395,236,228,311,201,252,22,115,86,85,146,110,29,94,86,108,140
30,100,106,105,29,116,153,155,209,90,221,33,164,53,83,185,89,23,85,94,175,148
31,43,42,63,8,48,66,100,119,34,139,101,157,49,41,114,102,37,79,55,154,167
32,5,25,8,0,10,38,49,55,15,101,114,112,30,23,65,165,61,77,84,137,113
33,3,12,1,0,1,41,34,7,5,28,45,89,27,12,24,130,37,40,92,79,51
34,0,6,2,0,1,11,19,3,1,4,9,36,14,9,14,86,13,25,59,45,27
35,0,2,0,0,0,1,1,0,0,0,2,8,7,6,5,33,14,14,39,25,13
36,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,11,7,14,21,30,5
37,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,9,8,13,7,3
38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,9,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
