"Ano","n","media","mediana","dp","minimo","maximo","pct_abaixo_MLS","amostra_fraca"
1988,263,24.7148288973384,25,2.60768986654429,16,29,8.36501901140684,FALSE
1989,157,24.1464968152866,25,2.12076209882143,18,29,3.82165605095541,FALSE
1990,181,22.8066298342541,23,3.00021484804644,16,30,11.6022099447514,FALSE
1991,41,26.8536585365854,27,1.23614270231547,25,29,0,TRUE
1993,434,24.4101382488479,25,2.35576801424996,18,32,6.68202764976959,FALSE
1994,530,25.2962264150943,26,1.97167678959508,19,31,0.188679245283019,FALSE
1995,347,25.149855907781,26,3.88274956684443,13,31,12.9682997118156,FALSE
1996,618,23.3074433656958,23,2.60518923632797,17,32,3.39805825242718,FALSE
1997,724,24.3439226519337,24,1.5555029960667,20,30,0,FALSE
1998,436,24.3004587155963,24,2.15686016378155,19,29,1.37614678899083,FALSE
1999,134,27.8805970149254,28,1.575397198367,18,31,0.746268656716418,TRUE
2000,773,27.4256144890039,27,1.73390930953029,21,32,0,FALSE
2001,460,27.1152173913043,28,2.89048226983013,19,32,1.08695652173913,FALSE
2002,514,26.375486381323,26,1.76080962704637,22,32,0,FALSE
2003,398,27.5979899497487,28,1.9972767303081,20,32,0,FALSE
2004,677,27.3426883308715,28,2.10328578785228,20,32,0,FALSE
2005,806,27.1947890818859,27,1.88568260838288,21,34,0,FALSE
2006,603,27.1774461028192,27,2.22266087691114,19,33,0.165837479270315,FALSE
2007,1024,26.5634765625,27,1.544350541728,22,31,0,FALSE
2008,805,28.0347826086957,28,1.33225675766869,24,32,0,FALSE
2009,728,28.1662087912088,28,2.03642509008875,23,35,0,FALSE
2010,640,28.1515625,28,2.4232501995737,21,34,0,FALSE
2011,587,28.5485519591141,29,1.93113799990698,19,34,0.511073253833049,FALSE
2012,710,27.3704225352113,28,1.85875691100703,22,33,0,FALSE
2013,453,29.5165562913907,30,1.68223791356034,25,33,0,FALSE
2014,236,29.9745762711864,31,2.46321659419196,22,34,0,FALSE
2015,412,30.1747572815534,30,2.28579527479344,22,36,0,FALSE
2016,162,29.858024691358,29,2.07279714380992,26,35,0,FALSE
2017,260,28.2923076923077,28,2.55577521155264,22,35,0,FALSE
2018,531,28.3295668549906,28,2.30394485339886,23,36,0,FALSE
2019,525,29.9142857142857,31,3.48747564415771,19,37,0.19047619047619,FALSE
2020,290,27.7896551724138,27,3.69801637911436,22,38,0,FALSE
2021,354,29.5536723163842,29,2.96317350837935,23,38,0,FALSE
2022,326,30.7239263803681,31,2.9784628840203,21,37,0,FALSE
2023,446,30.4260089686099,30,2.4380219906485,24,39,0,FALSE
2024,582,29.1408934707904,29,2.21574973242826,23,37,0,FALSE
