year,n_scenarios,SPR_min,SPR_median,SPR_max,FM_min,FM_median,FM_max
2004,6,0.29,0.385,0.42,12.32,12.98,17.8
2005,6,0.3,0.385,0.42,11.1,11.68,15.94
2006,6,0.3,0.385,0.43,10.32,10.85,14.72
2007,6,0.31,0.395,0.43,9.37,9.84,13.26
2008,6,0.32,0.415,0.45,8.45,8.875,11.88
2009,6,0.34,0.425,0.47,7.62,8.035,10.64
2010,6,0.35,0.445,0.48,7.34,7.79,10.17
2011,6,0.36,0.455,0.49,7.48,7.985,10.27
2012,6,0.37,0.46499999999999997,0.5,7.57,8.004999999999999,10.27
2013,6,0.39,0.485,0.52,7.7,8.09,10.32
2014,6,0.4,0.505,0.54,8.09,8.434999999999999,10.71
2015,6,0.42,0.515,0.56,6.81,7.109999999999999,9.1
2016,6,0.42,0.525,0.57,5.68,5.949999999999999,7.66
2017,6,0.43,0.53,0.57,4.97,5.210000000000001,6.75
2018,6,0.43,0.54,0.58,4.46,4.695,6.1
2019,6,0.45,0.56,0.6,4.14,4.38,5.7
2020,6,0.46,0.5700000000000001,0.61,3.5,3.705,4.87
2021,6,0.47,0.58,0.62,3.17,3.355,4.43
2022,6,0.47,0.58,0.62,3.05,3.23,4.28
2023,6,0.47,0.58,0.62,2.88,3.025,4.06
2024,6,0.47,0.58,0.62,2.84,2.98,4.01
