LMids,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,9,54,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
19.5,38,18,34,0,0,0,0,19,0,0,0,0,0,0,0,29,0,0,62,0,0
21.5,40,81,78,18,0,0,5,6,7,0,2,4,0,18,0,67,17,0,84,0,0
23.5,125,114,101,226,5,16,78,0,96,0,66,13,1,58,39,53,102,18,7,3,13
25.5,289,362,341,624,210,349,198,75,228,25,12,46,16,71,221,62,176,75,51,39,62
27.5,552,685,476,712,816,470,403,411,744,203,119,104,88,115,308,167,113,147,124,170,293
29.5,372,307,299,137,511,389,383,520,291,473,55,279,139,168,331,199,52,179,180,283,288
31.5,48,67,71,8,58,104,149,174,49,240,215,269,79,64,179,267,98,156,139,291,280
33.5,3,18,3,0,2,52,53,10,6,32,54,125,41,21,38,216,50,65,151,124,78
35.5,0,2,0,0,0,1,1,0,0,0,2,13,10,8,8,44,21,28,60,55,18
37.5,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,9,11,10,16,16,3
39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0
41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
