DATA,ANO,MES,ZONA,L(cm),W(g),SEXO,EM,W_GON,W_FIG,OBS,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,325,M,3,0.06,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,352,F,3,1.7,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,326,M,3,1.83,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,219,,,,,sem dados,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,341,F,3,1.94,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,328,F,4,1.49,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,327,F,3,3.16,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,348,F,5,2.03,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,296,F,5,1.53,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,245,F,3,0.79,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,227,M,2,2.7,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,280,F,5,1.2,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,191,F,2,0.48,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,274,M,2,0.9,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,33,417,M,6,1.45,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,206,F,2,0.6,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,283,F,5,1.64,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,331,F,4,2.95,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,27,228,F,3,0.8,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,409,F,5,2.51,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,361,F,3,0.81,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,210,F,6,2.23,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,259,M,2,0.77,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,297,M,6,2.15,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,333,M,3,1.89,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,387,F,5,4.15,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,24,176,M,2,0.23,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,344,M,6,1.24,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,289,M,4,2.49,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,320,M,4,1.26,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,312,M,6,1.23,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,204,F,4,0.79,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,306,F,3,2.45,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,353,M,6,1.58,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,336,M,7,1.76,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,347,M,7,1.2,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,294,M,6,2.4,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,203,M,2,2.17,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,366,F,5,2.39,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,361,F,5,1.98,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,352,F,5,2.15,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,255,M,6,0.76,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,323,F,5,1.71,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,289,F,4,1.47,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,374,M,6,1.16,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,264,M,6,0.8,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,312,M,6,1.02,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,363,M,7,1.02,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,358,F,5,2.21,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,323,F,5,2,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,353,F,5,1.91,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,330,M,6,0.71,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,321,M,6,1.95,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,321,F,5,2.56,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,304,M,6,1.04,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,321,M,6,1.32,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,321,F,5,1.89,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,383,F,5,2,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,357,M,5,2.58,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,198,F,3,0.67,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,361,F,6,2.46,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,324,F,6,2.17,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,363,F,6,1.78,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,31,349,F,5,2.49,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,29,334,F,5,1.74,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,282,M,6,1.17,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,30,347,M,6,0.99,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,222,F,3,0.76,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,28,293,M,5,1.61,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,186,M,2,0.26,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,234,F,2,0.67,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,216,M,2,0.33,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,192,F,2,0.61,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,25,188,F,2,0.27,,,,,,,,,,,,,,
1/18/2004,2004,1,ILHEU BRANCO,26,223,F,2,2.68,,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,213,M,3,2.9,1.48,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,288,F,5,5.32,1.6,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,198,M,3,3.71,1.9,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,24,180,F,3,1,1.47,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,197,F,3,1.19,1.13,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,289,F,5,4.04,2.56,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,30,331,M,4,3.8,2.92,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,248,F,3,,2.62,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,198,F,4,2.51,1.71,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,267,F,4,5.15,2.74,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,285,M,4,6.3,1.36,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,236,M,4,3.76,1.94,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,333,F,3,3.01,3.66,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,220,M,4,1.6,3.35,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,253,M,4,3.7,2.2,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,183,M,4,2.19,1.56,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,29,339,M,4,6.32,3.56,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,211,M,3,2.81,2.05,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,193,M,4,4.44,1.97,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,233,F,6,3.44,2.23,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,202,M,3,1.89,1.69,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,237,M,4,2.91,2.72,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,249,M,4,6.36,2.33,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,215,M,4,2.17,2.41,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,24,176,F,2,1.02,2,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,25,206,F,3,1.68,2.36,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,27,262,M,4,3.4,3.22,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,28,284,M,5,5.41,2.48,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,218,M,4,1.42,1.7,,,,,,,,,,,,,
2/22/2004,2004,2,BAIA DAS GATAS,26,208,F,3,1.24,2.31,,,,,,,,,,,,,
